epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0.00299             ,0.0075              ,0.13618             ,0.13543             ,3394                ,949                 ,0.95482             
100                 ,0.01905             ,0.02259             ,0.13508             ,0.1344              ,3378                ,908                 ,0.94907             
150                 ,0.04088             ,0.0461              ,0.13357             ,0.13277             ,3352                ,862                 ,0.95078             
200                 ,0.0772              ,0.08675             ,0.13101             ,0.12991             ,3310                ,815                 ,0.95849             
250                 ,0.13654             ,0.15044             ,0.12673             ,0.1253              ,3243                ,769                 ,0.9683              
300                 ,0.18674             ,0.20569             ,0.12299             ,0.12115             ,3207                ,725                 ,0.97937             
350                 ,0.22933             ,0.25363             ,0.11973             ,0.11744             ,3204                ,683                 ,0.98801             
400                 ,0.2689              ,0.29737             ,0.11661             ,0.11395             ,3204                ,645                 ,0.99722             
450                 ,0.30984             ,0.34105             ,0.1133              ,0.11035             ,3203                ,608                 ,1.00834             
500                 ,0.34902             ,0.38237             ,0.11004             ,0.10683             ,3195                ,574                 ,1.02225             
550                 ,0.38281             ,0.41595             ,0.10715             ,0.10389             ,3183                ,544                 ,1.03834             
600                 ,0.40972             ,0.44196             ,0.10478             ,0.10155             ,3176                ,519                 ,1.05167             
650                 ,0.43265             ,0.46312             ,0.10273             ,0.09961             ,3176                ,496                 ,1.06283             
700                 ,0.4547              ,0.48272             ,0.10071             ,0.09777             ,3175                ,475                 ,1.07363             
750                 ,0.47489             ,0.50038             ,0.09883             ,0.09609             ,3173                ,455                 ,1.08404             
800                 ,0.49266             ,0.51511             ,0.09714             ,0.09466             ,3173                ,438                 ,1.09506             
850                 ,0.50765             ,0.52715             ,0.0957              ,0.09348             ,3173                ,422                 ,1.10653             
900                 ,0.52011             ,0.53686             ,0.09448             ,0.09251             ,3173                ,410                 ,1.118               
950                 ,0.52967             ,0.54432             ,0.09353             ,0.09177             ,3174                ,399                 ,1.13055             
1000                ,0.53657             ,0.54928             ,0.09284             ,0.09126             ,3174                ,390                 ,1.14451             
1050                ,0.54164             ,0.55315             ,0.09233             ,0.09087             ,3174                ,383                 ,1.1586              
1100                ,0.54525             ,0.55536             ,0.09197             ,0.09065             ,3174                ,377                 ,1.17152             
1150                ,0.54794             ,0.55681             ,0.0917              ,0.0905              ,3175                ,372                 ,1.18281             
1200                ,0.54998             ,0.55765             ,0.09149             ,0.09041             ,3179                ,368                 ,1.19261             
1250                ,0.55154             ,0.55837             ,0.09133             ,0.09034             ,3179                ,365                 ,1.20023             
1300                ,0.55276             ,0.55865             ,0.09121             ,0.09031             ,3179                ,362                 ,1.20635             
1350                ,0.55364             ,0.55867             ,0.09112             ,0.09031             ,3179                ,359                 ,1.21035             
1400                ,0.55438             ,0.55886             ,0.09104             ,0.09029             ,3180                ,357                 ,1.21371             
1450                ,0.555               ,0.55891             ,0.09098             ,0.09028             ,3182                ,355                 ,1.21649             
1500                ,0.55544             ,0.55885             ,0.09093             ,0.09029             ,3184                ,353                 ,1.21781             
1550                ,0.55564             ,0.5587              ,0.09091             ,0.09031             ,3184                ,353                 ,1.21757             
1600                ,0.55581             ,0.55873             ,0.0909              ,0.0903              ,3184                ,352                 ,1.21655             
1650                ,0.55592             ,0.55866             ,0.09088             ,0.09031             ,3184                ,352                 ,1.21455             
1700                ,0.55601             ,0.55862             ,0.09088             ,0.09031             ,3184                ,351                 ,1.21211             
1750                ,0.55608             ,0.55859             ,0.09087             ,0.09032             ,3184                ,351                 ,1.20915             
1800                ,0.55615             ,0.55865             ,0.09086             ,0.09031             ,3184                ,351                 ,1.20614             
1850                ,0.55621             ,0.55863             ,0.09086             ,0.09031             ,3184                ,350                 ,1.20267             
1900                ,0.55625             ,0.55858             ,0.09085             ,0.09032             ,3184                ,350                 ,1.19864             
1950                ,0.55628             ,0.55855             ,0.09085             ,0.09032             ,3184                ,350                 ,1.1942              
2000                ,0.55629             ,0.55853             ,0.09085             ,0.09032             ,3184                ,350                 ,1.18942             
2050                ,0.55631             ,0.55853             ,0.09085             ,0.09032             ,3184                ,350                 ,1.18442             
2100                ,0.55633             ,0.55853             ,0.09084             ,0.09032             ,3184                ,350                 ,1.17922             
2150                ,0.55634             ,0.55855             ,0.09084             ,0.09032             ,3184                ,350                 ,1.17378             
2200                ,0.55636             ,0.55854             ,0.09084             ,0.09032             ,3184                ,349                 ,1.16809             
2250                ,0.55637             ,0.55854             ,0.09084             ,0.09032             ,3184                ,349                 ,1.16223             
2300                ,0.55639             ,0.5585              ,0.09084             ,0.09033             ,3184                ,349                 ,1.15614             
2350                ,0.55642             ,0.55846             ,0.09083             ,0.09033             ,3184                ,349                 ,1.14988             
2400                ,0.55645             ,0.55842             ,0.09083             ,0.09033             ,3184                ,348                 ,1.14348             
2450                ,0.55647             ,0.55839             ,0.09083             ,0.09034             ,3184                ,348                 ,1.1369              
2500                ,0.55649             ,0.55835             ,0.09083             ,0.09034             ,3184                ,348                 ,1.12993             
2550                ,0.55649             ,0.55837             ,0.09083             ,0.09034             ,3184                ,348                 ,1.12259             
2600                ,0.55649             ,0.55835             ,0.09083             ,0.09034             ,3184                ,348                 ,1.11489             
2650                ,0.5565              ,0.55833             ,0.09083             ,0.09034             ,3184                ,348                 ,1.10688             
2700                ,0.55649             ,0.55832             ,0.09083             ,0.09034             ,3184                ,348                 ,1.09856             
2750                ,0.55649             ,0.55831             ,0.09083             ,0.09035             ,3184                ,348                 ,1.08988             
2800                ,0.55649             ,0.55828             ,0.09083             ,0.09035             ,3184                ,348                 ,1.08083             
2850                ,0.55648             ,0.55825             ,0.09083             ,0.09035             ,3184                ,348                 ,1.07148             
2900                ,0.55647             ,0.55828             ,0.09083             ,0.09035             ,3184                ,348                 ,1.06172             
2950                ,0.55647             ,0.55827             ,0.09083             ,0.09035             ,3184                ,348                 ,1.05171             
3000                ,0.55647             ,0.55829             ,0.09083             ,0.09035             ,3184                ,348                 ,1.04145             
3050                ,0.55646             ,0.5583              ,0.09083             ,0.09035             ,3184                ,348                 ,1.03073             
3100                ,0.55646             ,0.55827             ,0.09083             ,0.09035             ,3184                ,348                 ,1.01965             
3150                ,0.55646             ,0.55831             ,0.09083             ,0.09035             ,3184                ,348                 ,1.00817             
3200                ,0.55646             ,0.55827             ,0.09083             ,0.09035             ,3184                ,348                 ,0.99617             
3250                ,0.55645             ,0.55823             ,0.09083             ,0.09035             ,3184                ,348                 ,0.98363             
3300                ,0.55644             ,0.55819             ,0.09083             ,0.09036             ,3184                ,348                 ,0.97056             
3350                ,0.55643             ,0.55814             ,0.09083             ,0.09036             ,3184                ,348                 ,0.95695             
3400                ,0.55641             ,0.55811             ,0.09083             ,0.09037             ,3184                ,348                 ,0.94281             
3450                ,0.5564              ,0.55806             ,0.09084             ,0.09037             ,3184                ,348                 ,0.92807             
3500                ,0.55638             ,0.55802             ,0.09084             ,0.09038             ,3184                ,348                 ,0.91274             
3550                ,0.55636             ,0.55796             ,0.09084             ,0.09038             ,3184                ,348                 ,0.89681             
3600                ,0.55634             ,0.5579              ,0.09084             ,0.09039             ,3184                ,348                 ,0.88027             
3650                ,0.55632             ,0.55772             ,0.09084             ,0.09041             ,3184                ,348                 ,0.86305             
3700                ,0.5563              ,0.55768             ,0.09085             ,0.09041             ,3184                ,348                 ,0.84536             
3750                ,0.55628             ,0.55766             ,0.09085             ,0.09041             ,3184                ,348                 ,0.82722             
3800                ,0.55626             ,0.55755             ,0.09085             ,0.09042             ,3184                ,348                 ,0.80848             
3850                ,0.55624             ,0.55751             ,0.09085             ,0.09043             ,3184                ,348                 ,0.78944             
3900                ,0.55622             ,0.55744             ,0.09085             ,0.09043             ,3184                ,348                 ,0.77015             
3950                ,0.5562              ,0.55738             ,0.09086             ,0.09044             ,3184                ,348                 ,0.7508              
4000                ,0.55619             ,0.55732             ,0.09086             ,0.09045             ,3184                ,348                 ,0.73147             
