epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0.01305             ,0.01417             ,0.13549             ,0.13497             ,1070                ,2829                ,0.92755             ,0.47567             
100                 ,0.02913             ,0.03212             ,0.13438             ,0.13374             ,1011                ,2883                ,0.92494             ,0.48146             
150                 ,0.06007             ,0.06613             ,0.13222             ,0.13137             ,947                 ,2962                ,0.9123              ,0.48711             
200                 ,0.10593             ,0.11686             ,0.12896             ,0.12775             ,880                 ,2981                ,0.90012             ,0.49611             
250                 ,0.16326             ,0.18163             ,0.12475             ,0.12298             ,818                 ,2980                ,0.87205             ,0.50513             
300                 ,0.20788             ,0.23339             ,0.12138             ,0.11902             ,765                 ,2981                ,0.84658             ,0.51117             
350                 ,0.24813             ,0.279               ,0.11826             ,0.11543             ,718                 ,2981                ,0.82217             ,0.51389             
400                 ,0.28622             ,0.32132             ,0.11522             ,0.11199             ,676                 ,2983                ,0.79799             ,0.51633             
450                 ,0.32501             ,0.36267             ,0.11205             ,0.10852             ,638                 ,2984                ,0.76845             ,0.5191              
500                 ,0.36378             ,0.40326             ,0.10878             ,0.10501             ,602                 ,2984                ,0.7356              ,0.52192             
550                 ,0.39875             ,0.43893             ,0.10575             ,0.10183             ,570                 ,2984                ,0.70128             ,0.52468             
600                 ,0.42802             ,0.46676             ,0.10315             ,0.09927             ,543                 ,2984                ,0.66905             ,0.52677             
650                 ,0.45105             ,0.48677             ,0.10105             ,0.09739             ,519                 ,2984                ,0.64141             ,0.52834             
700                 ,0.47074             ,0.50273             ,0.09922             ,0.09586             ,498                 ,2984                ,0.61903             ,0.52934             
750                 ,0.48926             ,0.51669             ,0.09747             ,0.09451             ,478                 ,2983                ,0.59899             ,0.53009             
800                 ,0.50567             ,0.52826             ,0.09589             ,0.09337             ,460                 ,2983                ,0.58365             ,0.53061             
850                 ,0.51981             ,0.53741             ,0.09451             ,0.09246             ,443                 ,2983                ,0.56935             ,0.53121             
900                 ,0.53154             ,0.54478             ,0.09335             ,0.09172             ,429                 ,2983                ,0.55911             ,0.53211             
950                 ,0.54063             ,0.55067             ,0.09244             ,0.09112             ,416                 ,2983                ,0.55083             ,0.53283             
1000                ,0.54744             ,0.55539             ,0.09175             ,0.09064             ,405                 ,2983                ,0.54267             ,0.53356             
1050                ,0.55224             ,0.55846             ,0.09126             ,0.09033             ,396                 ,2983                ,0.53668             ,0.53426             
1100                ,0.55566             ,0.56067             ,0.09091             ,0.0901              ,389                 ,2983                ,0.53248             ,0.53492             
1150                ,0.55812             ,0.56201             ,0.09066             ,0.08997             ,382                 ,2983                ,0.52885             ,0.53545             
1200                ,0.5599              ,0.56292             ,0.09048             ,0.08987             ,377                 ,2983                ,0.5256              ,0.53591             
1250                ,0.56125             ,0.56351             ,0.09034             ,0.08981             ,373                 ,2983                ,0.52156             ,0.53652             
1300                ,0.56224             ,0.56385             ,0.09024             ,0.08978             ,369                 ,2983                ,0.51823             ,0.53711             
1350                ,0.56304             ,0.56421             ,0.09015             ,0.08974             ,366                 ,2983                ,0.5148              ,0.53764             
1400                ,0.56373             ,0.5644              ,0.09008             ,0.08972             ,363                 ,2983                ,0.51118             ,0.53821             
1450                ,0.56421             ,0.56454             ,0.09003             ,0.08971             ,360                 ,2983                ,0.50878             ,0.53863             
1500                ,0.56462             ,0.56467             ,0.08999             ,0.08969             ,358                 ,2983                ,0.50634             ,0.53886             
1550                ,0.56495             ,0.56463             ,0.08996             ,0.0897              ,356                 ,2983                ,0.5041              ,0.53892             
1600                ,0.56519             ,0.56459             ,0.08993             ,0.0897              ,355                 ,2983                ,0.50206             ,0.53882             
1650                ,0.56539             ,0.56451             ,0.08991             ,0.08971             ,353                 ,2983                ,0.50009             ,0.53869             
1700                ,0.56553             ,0.5645              ,0.0899              ,0.08971             ,352                 ,2983                ,0.49829             ,0.53851             
1750                ,0.56567             ,0.56451             ,0.08988             ,0.08971             ,351                 ,2983                ,0.49619             ,0.53826             
1800                ,0.56579             ,0.5645              ,0.08987             ,0.08971             ,351                 ,2984                ,0.494               ,0.53798             
1850                ,0.5659              ,0.56448             ,0.08986             ,0.08971             ,350                 ,2984                ,0.49196             ,0.53756             
1900                ,0.56601             ,0.56447             ,0.08985             ,0.08971             ,350                 ,2983                ,0.48972             ,0.53735             
1950                ,0.56611             ,0.56448             ,0.08984             ,0.08971             ,349                 ,2984                ,0.48765             ,0.53699             
2000                ,0.56621             ,0.56453             ,0.08983             ,0.08971             ,349                 ,2984                ,0.48557             ,0.5366              
2050                ,0.56631             ,0.56454             ,0.08982             ,0.08971             ,348                 ,2984                ,0.48358             ,0.53612             
