epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.38364             ,0.38232             ,901                 ,1872                ,2088                ,0.0063              ,0.91728             
100                 ,0                   ,0                   ,0.19853             ,0.19588             ,877                 ,1927                ,2118                ,-0.01942            ,0.93502             
150                 ,0                   ,0.0023              ,0.14001             ,0.13578             ,872                 ,1928                ,2128                ,-0.02795            ,0.93807             
200                 ,0                   ,0.04825             ,0.13679             ,0.13262             ,871                 ,1928                ,2127                ,-0.02746            ,0.93823             
250                 ,0.02807             ,0.07984             ,0.13446             ,0.1304              ,860                 ,1928                ,2122                ,-0.02566            ,0.93814             
300                 ,0.06241             ,0.11214             ,0.13206             ,0.12809             ,844                 ,1928                ,2116                ,-0.02378            ,0.93789             
350                 ,0.09652             ,0.14433             ,0.12963             ,0.12575             ,823                 ,1928                ,2111                ,-0.02183            ,0.93753             
400                 ,0.12856             ,0.17445             ,0.12732             ,0.12351             ,801                 ,1928                ,2105                ,-0.01991            ,0.9371              
450                 ,0.15718             ,0.20138             ,0.12521             ,0.12148             ,779                 ,1928                ,2099                ,-0.01814            ,0.93663             
500                 ,0.1826              ,0.22529             ,0.1233              ,0.11965             ,756                 ,1928                ,2094                ,-0.01656            ,0.93616             
550                 ,0.20519             ,0.24645             ,0.12159             ,0.11801             ,733                 ,1928                ,2090                ,-0.01521            ,0.93573             
600                 ,0.22507             ,0.26511             ,0.12006             ,0.11654             ,710                 ,1928                ,2088                ,-0.01413            ,0.93538             
650                 ,0.2431              ,0.28221             ,0.11865             ,0.11517             ,688                 ,1928                ,2089                ,-0.01331            ,0.93511             
700                 ,0.25994             ,0.29797             ,0.11733             ,0.1139              ,666                 ,1928                ,2093                ,-0.01274            ,0.93502             
750                 ,0.27557             ,0.31269             ,0.11608             ,0.1127              ,645                 ,1928                ,2099                ,-0.01248            ,0.9351              
800                 ,0.29023             ,0.32667             ,0.1149              ,0.11155             ,625                 ,1929                ,2105                ,-0.01248            ,0.9353              
850                 ,0.30422             ,0.34009             ,0.11376             ,0.11043             ,605                 ,1929                ,2112                ,-0.01272            ,0.93561             
900                 ,0.31712             ,0.35253             ,0.1127              ,0.10938             ,587                 ,1930                ,2118                ,-0.01315            ,0.93601             
950                 ,0.32862             ,0.36368             ,0.11175             ,0.10844             ,570                 ,1930                ,2125                ,-0.01373            ,0.93645             
1000                ,0.33924             ,0.37391             ,0.11086             ,0.10756             ,555                 ,1930                ,2133                ,-0.01444            ,0.93691             
1050                ,0.34901             ,0.38332             ,0.11004             ,0.10675             ,540                 ,1930                ,2144                ,-0.01523            ,0.93737             
1100                ,0.35782             ,0.39176             ,0.10929             ,0.10602             ,528                 ,1930                ,2157                ,-0.01609            ,0.93781             
1150                ,0.36588             ,0.39945             ,0.1086              ,0.10535             ,516                 ,1930                ,2170                ,-0.01699            ,0.9382              
1200                ,0.37364             ,0.40682             ,0.10794             ,0.1047              ,505                 ,1930                ,2183                ,-0.01791            ,0.93853             
1250                ,0.38116             ,0.41388             ,0.10729             ,0.10407             ,494                 ,1930                ,2195                ,-0.01886            ,0.9388              
1300                ,0.38886             ,0.42099             ,0.10662             ,0.10344             ,484                 ,1930                ,2206                ,-0.01984            ,0.939               
1350                ,0.39971             ,0.43042             ,0.10567             ,0.10259             ,474                 ,1930                ,2218                ,-0.02081            ,0.93906             
1400                ,0.43441             ,0.46094             ,0.10257             ,0.09981             ,465                 ,1931                ,2230                ,-0.02218            ,0.93926             
1450                ,0.45877             ,0.48434             ,0.10034             ,0.09762             ,457                 ,1930                ,2241                ,-0.02472            ,0.93993             
1500                ,0.47751             ,0.50265             ,0.09858             ,0.09587             ,449                 ,1930                ,2253                ,-0.02736            ,0.94046             
1550                ,0.49373             ,0.51836             ,0.09704             ,0.09434             ,441                 ,1930                ,2266                ,-0.02979            ,0.94062             
1600                ,0.50829             ,0.53238             ,0.09563             ,0.09296             ,433                 ,1930                ,2282                ,-0.032              ,0.94045             
1650                ,0.52149             ,0.54501             ,0.09434             ,0.09169             ,427                 ,1930                ,2300                ,-0.03402            ,0.93999             
1700                ,0.53382             ,0.55662             ,0.09312             ,0.09052             ,420                 ,1931                ,2319                ,-0.03592            ,0.93927             
1750                ,0.54514             ,0.56711             ,0.09198             ,0.08944             ,414                 ,1931                ,2335                ,-0.03767            ,0.93832             
1800                ,0.55884             ,0.57968             ,0.09059             ,0.08813             ,409                 ,1949                ,2346                ,-0.0393             ,0.93717             
1850                ,0.58698             ,0.60556             ,0.08765             ,0.08538             ,404                 ,2002                ,2352                ,-0.04083            ,0.93588             
1900                ,0.59848             ,0.61505             ,0.08642             ,0.08434             ,400                 ,2010                ,2352                ,-0.04197            ,0.93454             
1950                ,0.60807             ,0.62301             ,0.08538             ,0.08347             ,395                 ,2010                ,2352                ,-0.0429             ,0.93311             
2000                ,0.61672             ,0.63008             ,0.08443             ,0.08268             ,391                 ,2010                ,2352                ,-0.04371            ,0.93161             
2050                ,0.62474             ,0.63653             ,0.08355             ,0.08196             ,388                 ,2010                ,2352                ,-0.04442            ,0.93008             
2100                ,0.63224             ,0.64251             ,0.08271             ,0.08128             ,385                 ,2010                ,2352                ,-0.04501            ,0.92853             
2150                ,0.63902             ,0.64769             ,0.08194             ,0.08069             ,383                 ,2010                ,2352                ,-0.0455             ,0.92699             
2200                ,0.64557             ,0.65277             ,0.08119             ,0.0801              ,381                 ,2010                ,2352                ,-0.04588            ,0.92546             
2250                ,0.65173             ,0.65762             ,0.08049             ,0.07954             ,380                 ,2009                ,2352                ,-0.04618            ,0.92398             
2300                ,0.65746             ,0.6624              ,0.07982             ,0.07899             ,379                 ,2007                ,2352                ,-0.04668            ,0.92262             
2350                ,0.66323             ,0.66668             ,0.07915             ,0.07848             ,377                 ,2007                ,2352                ,-0.04726            ,0.92133             
2400                ,0.66868             ,0.67067             ,0.0785              ,0.07801             ,376                 ,2007                ,2352                ,-0.04804            ,0.92025             
2450                ,0.6741              ,0.67482             ,0.07786             ,0.07752             ,376                 ,2007                ,2352                ,-0.04896            ,0.91943             
2500                ,0.68003             ,0.67971             ,0.07715             ,0.07693             ,375                 ,2007                ,2352                ,-0.0501             ,0.91885             
2550                ,0.68589             ,0.68485             ,0.07644             ,0.07631             ,373                 ,2007                ,2352                ,-0.05137            ,0.91842             
2600                ,0.68969             ,0.68812             ,0.07597             ,0.07592             ,372                 ,2005                ,2352                ,-0.05222            ,0.91779             
2650                ,0.69283             ,0.69074             ,0.07559             ,0.0756              ,371                 ,2004                ,2352                ,-0.05265            ,0.91707             
2700                ,0.69572             ,0.69316             ,0.07523             ,0.0753              ,371                 ,2004                ,2352                ,-0.05307            ,0.91646             
2750                ,0.69835             ,0.69544             ,0.07491             ,0.07502             ,371                 ,2004                ,2352                ,-0.05357            ,0.91595             
2800                ,0.70078             ,0.69763             ,0.0746              ,0.07475             ,371                 ,2004                ,2352                ,-0.05409            ,0.91552             
2850                ,0.70305             ,0.69951             ,0.07432             ,0.07452             ,371                 ,2004                ,2352                ,-0.05469            ,0.91517             
2900                ,0.70518             ,0.70143             ,0.07405             ,0.07428             ,371                 ,2004                ,2352                ,-0.05533            ,0.91489             
