epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.21279             ,0.22603             ,0.12101             ,0.11959             ,255                 ,2424                ,2879                ,1477                ,0.76824             ,0.11418             ,0.44431             ,0.16536             ,0.13381             ,0.98619             ,0.02958             ,0.80284             ,0.31022             ,0.63104             ,0.91373             ,0.2432              ,0.1218              ,0.40266             ,0.06104             ,0.67685             ,0.90092             ,0.65081             ,0.25499             ,0.00546             ,0.16192             ,0.06755             ,0.22535             ,-0.00024            ,0.31428             ,0.63644             ,0.88176             ,0.14656             ,0.71181             ,0.35113             ,0.13058             ,0.33986             ,-7e-05              ,0.67513             ,0.71628             ,0.14891             ,0.50726             ,0.20971             ,0.25893             ,0.51048             ,0.47728             ,0.92463             ,0.36992             ,0.97133             ,0.05995             ,0.21433             ,0.67583             ,0.33616             ,0.30558             ,0.48816             ,0.33782             ,0.5676              ,0.31271             ,0.30372             ,0.59746             ,0.66616             ,0.77313             ,0.83043             ,0.77896             ,0.7011              ,0.10471             ,0.27845             ,0.86364             ,0.17687             ,0.06141             ,0.61233             ,0.92861             ,0.44672             ,0.18952             ,0.70152             ,0.8795              ,0.52311             
100                 ,0.34861             ,0.37069             ,0.11007             ,0.10784             ,270                 ,2421                ,2879                ,1446                ,0.75217             ,0.11448             ,0.43197             ,0.16096             ,0.12866             ,0.96653             ,-0.0144             ,0.75206             ,0.30414             ,0.62974             ,0.91025             ,0.19969             ,0.10736             ,0.38549             ,0.05797             ,0.64183             ,0.88314             ,0.63692             ,0.24811             ,0.01234             ,0.1537              ,0.05882             ,0.22522             ,0.00224             ,0.31108             ,0.6119              ,0.85485             ,0.12001             ,0.66366             ,0.34754             ,0.15691             ,0.34465             ,-0.04676            ,0.68043             ,0.71215             ,0.1077              ,0.47039             ,0.19233             ,0.24091             ,0.46327             ,0.47198             ,0.8902              ,0.37026             ,0.94219             ,0.04861             ,0.20284             ,0.63984             ,0.3319              ,0.30235             ,0.48615             ,0.3251              ,0.56314             ,0.30704             ,0.30196             ,0.56557             ,0.63015             ,0.78582             ,0.83282             ,0.77579             ,0.64519             ,0.10198             ,0.27718             ,0.87227             ,0.15094             ,0.06748             ,0.59419             ,0.92497             ,0.44105             ,0.19849             ,0.68536             ,0.88684             ,0.52428             
150                 ,0.45779             ,0.48808             ,0.10043             ,0.09726             ,286                 ,2429                ,2874                ,1403                ,0.73289             ,0.11581             ,0.42578             ,0.15699             ,0.12358             ,0.94366             ,-0.03475            ,0.7071              ,0.30706             ,0.62723             ,0.9044              ,0.16433             ,0.09396             ,0.36331             ,0.05447             ,0.61654             ,0.85889             ,0.62339             ,0.23995             ,0.01603             ,0.14663             ,0.04829             ,0.22444             ,0.00202             ,0.30684             ,0.5932              ,0.83373             ,0.10133             ,0.61858             ,0.34519             ,0.16216             ,0.3132              ,-0.09563            ,0.67775             ,0.7024              ,0.05453             ,0.44219             ,0.16461             ,0.21809             ,0.39097             ,0.46228             ,0.84086             ,0.36895             ,0.90622             ,0.04156             ,0.18191             ,0.60554             ,0.32265             ,0.29851             ,0.48502             ,0.32058             ,0.56069             ,0.30197             ,0.30006             ,0.55057             ,0.60985             ,0.80113             ,0.82946             ,0.7723              ,0.58685             ,0.09857             ,0.27614             ,0.88146             ,0.13278             ,0.07095             ,0.56215             ,0.92191             ,0.43802             ,0.20737             ,0.66268             ,0.89447             ,0.51984             
200                 ,0.53166             ,0.54845             ,0.09333             ,0.09135             ,288                 ,2436                ,2868                ,1367                ,0.71337             ,0.11593             ,0.41885             ,0.15071             ,0.11847             ,0.91897             ,-0.03254            ,0.66427             ,0.31355             ,0.62166             ,0.89806             ,0.14115             ,0.08246             ,0.34059             ,0.05099             ,0.59194             ,0.83048             ,0.61338             ,0.23407             ,0.01773             ,0.13827             ,0.04021             ,0.22262             ,4e-05               ,0.30363             ,0.57272             ,0.8098              ,0.08758             ,0.57658             ,0.34427             ,0.1604              ,0.27256             ,-0.10212            ,0.66869             ,0.69126             ,4e-05               ,0.42923             ,0.13998             ,0.19254             ,0.32138             ,0.4492              ,0.792               ,0.36785             ,0.8687              ,0.0341              ,0.1532              ,0.57547             ,0.31051             ,0.29636             ,0.48324             ,0.31552             ,0.55682             ,0.29805             ,0.29872             ,0.53645             ,0.59291             ,0.81469             ,0.82128             ,0.76919             ,0.53447             ,0.09597             ,0.27531             ,0.88953             ,0.13361             ,0.07275             ,0.52445             ,0.91789             ,0.43385             ,0.21448             ,0.63964             ,0.90042             ,0.51203             
250                 ,0.57578             ,0.58476             ,0.08883             ,0.0876              ,288                 ,2436                ,2868                ,1324                ,0.69199             ,0.1155              ,0.41274             ,0.14314             ,0.11434             ,0.89254             ,-0.01757            ,0.62395             ,0.31359             ,0.61297             ,0.89051             ,0.12267             ,0.07264             ,0.3177              ,0.05082             ,0.55884             ,0.80122             ,0.60344             ,0.22858             ,0.01788             ,0.12987             ,0.03361             ,0.22242             ,-0.00243            ,0.29897             ,0.55112             ,0.78563             ,0.07928             ,0.53734             ,0.34322             ,0.1486              ,0.22897             ,-0.10216            ,0.65542             ,0.67864             ,-0.04319            ,0.40726             ,0.11637             ,0.16622             ,0.25956             ,0.436               ,0.75327             ,0.36634             ,0.82927             ,0.02936             ,0.12467             ,0.55335             ,0.29882             ,0.29372             ,0.48211             ,0.3121              ,0.55264             ,0.29544             ,0.29683             ,0.52373             ,0.57953             ,0.82563             ,0.81064             ,0.76529             ,0.48854             ,0.09203             ,0.27509             ,0.89683             ,0.13966             ,0.07413             ,0.48544             ,0.91342             ,0.42943             ,0.21939             ,0.61758             ,0.90506             ,0.50375             
300                 ,0.60448             ,0.60513             ,0.08577             ,0.08542             ,288                 ,2436                ,2868                ,1277                ,0.6697              ,0.11442             ,0.40742             ,0.13449             ,0.1107              ,0.86554             ,-0.00275            ,0.58664             ,0.31359             ,0.60237             ,0.88229             ,0.10189             ,0.06487             ,0.29501             ,0.05269             ,0.52121             ,0.77095             ,0.5971              ,0.22269             ,0.01696             ,0.12134             ,0.02992             ,0.22291             ,-0.00395            ,0.29344             ,0.52762             ,0.76188             ,0.07244             ,0.5002              ,0.34258             ,0.12153             ,0.18395             ,-0.10216            ,0.64028             ,0.66552             ,-0.07327            ,0.38373             ,0.09355             ,0.14176             ,0.21033             ,0.42207             ,0.72464             ,0.36437             ,0.78921             ,0.02708             ,0.09797             ,0.53942             ,0.28817             ,0.29125             ,0.48147             ,0.31048             ,0.54908             ,0.2934              ,0.29515             ,0.51516             ,0.57282             ,0.83264             ,0.79974             ,0.76084             ,0.45731             ,0.08886             ,0.27566             ,0.90101             ,0.15594             ,0.07446             ,0.45401             ,0.90839             ,0.42426             ,0.22185             ,0.60073             ,0.90686             ,0.4973              
350                 ,0.62448             ,0.61908             ,0.08358             ,0.0839              ,288                 ,2436                ,2868                ,1226                ,0.64685             ,0.11302             ,0.40294             ,0.12543             ,0.10733             ,0.83825             ,0.00452             ,0.55201             ,0.3136              ,0.59082             ,0.87366             ,0.07399             ,0.05851             ,0.27289             ,0.05571             ,0.48235             ,0.74013             ,0.59333             ,0.21633             ,0.01629             ,0.11285             ,0.02834             ,0.22375             ,-0.00449            ,0.28734             ,0.50151             ,0.73886             ,0.0639              ,0.46482             ,0.34204             ,0.08125             ,0.13932             ,-0.10217            ,0.6249              ,0.65249             ,-0.08728            ,0.35997             ,0.07262             ,0.12086             ,0.1782              ,0.40763             ,0.70668             ,0.36198             ,0.74887             ,0.02675             ,0.07475             ,0.53161             ,0.2794              ,0.28914             ,0.48146             ,0.31073             ,0.54698             ,0.29166             ,0.29417             ,0.51109             ,0.57326             ,0.8362              ,0.78982             ,0.75584             ,0.44196             ,0.08664             ,0.27692             ,0.90175             ,0.17834             ,0.07413             ,0.43328             ,0.90274             ,0.41952             ,0.22258             ,0.59001             ,0.90578             ,0.49308             
400                 ,0.64136             ,0.63226             ,0.08168             ,0.08244             ,288                 ,2436                ,2868                ,1173                ,0.62366             ,0.11144             ,0.39854             ,0.11622             ,0.10402             ,0.81046             ,0.00482             ,0.51932             ,0.3136              ,0.57892             ,0.86469             ,0.04299             ,0.05298             ,0.25138             ,0.05888             ,0.44453             ,0.70922             ,0.59066             ,0.20928             ,0.01559             ,0.10436             ,0.02776             ,0.22449             ,-0.00425            ,0.28089             ,0.47353             ,0.71579             ,0.05212             ,0.43083             ,0.341               ,0.0326              ,0.0959              ,-0.10217            ,0.60952             ,0.63953             ,-0.09049            ,0.33549             ,0.05328             ,0.10296             ,0.16235             ,0.39299             ,0.6945              ,0.35929             ,0.70917             ,0.027               ,0.05434             ,0.52647             ,0.27209             ,0.28749             ,0.48201             ,0.31168             ,0.54607             ,0.29003             ,0.29359             ,0.50882             ,0.57924             ,0.83731             ,0.78095             ,0.75035             ,0.43949             ,0.08515             ,0.27876             ,0.89964             ,0.20322             ,0.07354             ,0.4221              ,0.89652             ,0.41472             ,0.22228             ,0.58427             ,0.90238             ,0.49055             
450                 ,0.65676             ,0.645               ,0.0799              ,0.081               ,288                 ,2436                ,2868                ,1118                ,0.60016             ,0.10973             ,0.39353             ,0.10722             ,0.1007              ,0.78172             ,0.00261             ,0.48796             ,0.3136              ,0.56718             ,0.85529             ,0.01485             ,0.04795             ,0.2305              ,0.06138             ,0.40912             ,0.67848             ,0.58838             ,0.20163             ,0.01434             ,0.09585             ,0.02736             ,0.22468             ,-0.00344            ,0.27412             ,0.445               ,0.69195             ,0.03849             ,0.39811             ,0.33868             ,-0.01919            ,0.05381             ,-0.10217            ,0.5937              ,0.62639             ,-0.09069            ,0.31046             ,0.03543             ,0.08727             ,0.15776             ,0.37833             ,0.6811              ,0.35615             ,0.67101             ,0.0268              ,0.0357              ,0.52065             ,0.26547             ,0.28611             ,0.48282             ,0.31226             ,0.54574             ,0.28838             ,0.29288             ,0.50628             ,0.58885             ,0.83673             ,0.77268             ,0.74438             ,0.44554             ,0.08438             ,0.28095             ,0.89541             ,0.22885             ,0.07297             ,0.41808             ,0.88994             ,0.40874             ,0.22153             ,0.58158             ,0.89726             ,0.48916             
500                 ,0.66614             ,0.65372             ,0.0788              ,0.07999             ,288                 ,2436                ,2868                ,1083                ,0.5767              ,0.10798             ,0.38749             ,0.09858             ,0.09741             ,0.75187             ,-0.00054            ,0.45751             ,0.3136              ,0.55541             ,0.84542             ,-0.00555            ,0.0431              ,0.21032             ,0.06331             ,0.3757              ,0.64821             ,0.58219             ,0.1933              ,0.01287             ,0.08739             ,0.02669             ,0.22461             ,-0.00281            ,0.26726             ,0.41761             ,0.66703             ,0.0258              ,0.3666              ,0.33463             ,-0.06946            ,0.01807             ,-0.10217            ,0.57832             ,0.61291             ,-0.08861            ,0.28552             ,0.02099             ,0.07331             ,0.1617              ,0.36393             ,0.66639             ,0.35275             ,0.63426             ,0.02576             ,0.01974             ,0.5124              ,0.25998             ,0.28531             ,0.48344             ,0.31181             ,0.54429             ,0.2867              ,0.29175             ,0.50327             ,0.59414             ,0.8355              ,0.76407             ,0.73794             ,0.45195             ,0.0834              ,0.2826              ,0.89026             ,0.24966             ,0.07262             ,0.41449             ,0.88284             ,0.40207             ,0.22058             ,0.57982             ,0.89116             ,0.48771             
