epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0                   ,0                   ,0.13689             ,0.13636             ,1120                ,2364                ,3054                ,2052                ,0.70206             ,0.73961             ,0.92596             ,0.45573             ,0.91687             ,0.44187             ,0.98662             ,0.38805             ,0.10788             ,0.17938             ,0.58926             ,0.77268             ,0.75796             ,0.76619             ,0.13456             ,0.85495             ,-0.00606            ,0.4226              ,0.51962             ,0.47364             ,0.08211             ,0.14878             ,0.39566             ,0.69772             ,0.87712             ,0.52301             ,0.02888             ,0.77886             ,0.11041             ,0.90515             ,0.27559             ,0.05237             ,0.5103              ,0.81155             ,0.39909             ,0.28267             ,0.77075             ,0.82072             ,0.95761             ,0.95655             ,0.16173             ,0.49783             ,0.32942             ,0.74642             ,0.84121             ,0.61201             ,0.1706              ,0.3456              ,0.57314             ,0.65181             ,0.21943             ,0.01063             ,0.75897             ,0.85488             ,0.68569             ,0.9352              ,0.42006             ,0.05748             ,0.74334             ,0.27799             ,0.95455             ,0.27428             ,0.67858             ,0.21125             ,0.80344             ,0.4792              ,0.68101             ,0.3061              ,0.7951              ,0.17928             ,0.9621              ,0.2885              ,2125                ,725                 ,3922                ,2622                ,0.78279             ,0.21442             ,0.9223              ,0.16151             ,0.84284             ,0.51625             ,0.08288             ,0.21664             ,0.84917             ,0.07628             ,0.18042             ,0.59843             ,0.45461             ,0.17372             ,0.71677             ,0.4301              ,0.49984             ,-0.00349            ,0.05759             ,0.04852             ,0.50745             ,0.19276             ,0.90827             ,0.64827             ,0.16263             ,0.89183             ,0.62456             ,0.73726             ,0.31154             ,0.27982             ,0.8205              ,0.06275             ,0.27877             ,0.50981             ,0.56991             ,0.35398             ,0.77502             ,0.20714             ,0.29356             ,0.49349             ,0.74968             ,0.72986             ,0.43029             ,0.40968             ,0.05231             ,0.09309             ,0.63962             ,0.94954             ,0.37248             ,0.0996              ,0.53752             ,0.72026             ,0.58553             ,0.40072             ,0.01621             ,0.31024             ,0.26243             ,0.49747             ,0.93751             ,0.44362             ,0.43823             ,0.31243             ,0.51639             ,0.08381             ,0.06276             ,0.53338             ,0.45544             ,0.96684             ,0.17338             ,0.75029             ,0.57453             ,0.73329             
100                 ,0.0744              ,0.08131             ,0.13121             ,0.1303              ,1126                ,2362                ,3054                ,2045                ,0.70081             ,0.73709             ,0.89811             ,0.44247             ,0.89108             ,0.44045             ,0.98195             ,0.37524             ,0.10842             ,0.17839             ,0.5817              ,0.75239             ,0.75646             ,0.76186             ,0.13254             ,0.84976             ,-0.00519            ,0.4216              ,0.5158              ,0.47367             ,0.08341             ,0.14938             ,0.3917              ,0.69505             ,0.86983             ,0.51703             ,0.02952             ,0.7498              ,0.10723             ,0.87798             ,0.27245             ,0.05162             ,0.50703             ,0.7662              ,0.37058             ,0.2737              ,0.76685             ,0.81161             ,0.94446             ,0.94586             ,0.1561              ,0.4946              ,0.3245              ,0.73891             ,0.82866             ,0.59249             ,0.17057             ,0.34705             ,0.57268             ,0.65117             ,0.21988             ,0.01006             ,0.75578             ,0.85108             ,0.68491             ,0.93337             ,0.42047             ,0.05764             ,0.73994             ,0.27128             ,0.9537              ,0.27301             ,0.67555             ,0.21105             ,0.80111             ,0.47888             ,0.68019             ,0.3068              ,0.79264             ,0.17957             ,0.95993             ,0.28815             ,2118                ,712                 ,3921                ,2653                ,0.77528             ,0.21173             ,0.91545             ,0.16165             ,0.84209             ,0.51374             ,0.07526             ,0.21287             ,0.84116             ,0.07766             ,0.18149             ,0.59594             ,0.44685             ,0.17158             ,0.71409             ,0.41558             ,0.48719             ,-0.0064             ,0.06154             ,0.04941             ,0.48733             ,0.19047             ,0.9067              ,0.64752             ,0.17637             ,0.85455             ,0.61965             ,0.73327             ,0.31253             ,0.28614             ,0.77172             ,0.02962             ,0.27801             ,0.4866              ,0.5608              ,0.3499              ,0.72403             ,0.19214             ,0.29754             ,0.46751             ,0.71562             ,0.71699             ,0.43195             ,0.40319             ,0.06376             ,0.09342             ,0.63179             ,0.93372             ,0.37365             ,0.09992             ,0.53361             ,0.71912             ,0.58544             ,0.40043             ,0.01614             ,0.30934             ,0.2622              ,0.49394             ,0.93596             ,0.44388             ,0.43538             ,0.31225             ,0.5157              ,0.08226             ,0.06296             ,0.53655             ,0.45051             ,0.96088             ,0.17299             ,0.74953             ,0.57434             ,0.73327             
150                 ,0.21449             ,0.23207             ,0.12088             ,0.11913             ,1127                ,2363                ,3070                ,2017                ,0.69919             ,0.73364             ,0.86581             ,0.42621             ,0.86167             ,0.43542             ,0.97632             ,0.3594              ,0.10839             ,0.17652             ,0.57248             ,0.73173             ,0.75478             ,0.75717             ,0.13234             ,0.84336             ,-0.00651            ,0.42018             ,0.51115             ,0.47289             ,0.08357             ,0.14911             ,0.38739             ,0.69217             ,0.85989             ,0.50731             ,0.02989             ,0.71694             ,0.1051              ,0.84452             ,0.27121             ,0.04938             ,0.50353             ,0.72076             ,0.33988             ,0.27207             ,0.76284             ,0.80084             ,0.927               ,0.93215             ,0.15186             ,0.48825             ,0.31879             ,0.728               ,0.81584             ,0.56997             ,0.17127             ,0.3485              ,0.5721              ,0.65035             ,0.22008             ,0.01021             ,0.75241             ,0.84379             ,0.68409             ,0.93121             ,0.42014             ,0.05634             ,0.73605             ,0.26685             ,0.95249             ,0.27249             ,0.67232             ,0.21086             ,0.7953              ,0.47845             ,0.67883             ,0.30741             ,0.78691             ,0.17904             ,0.95751             ,0.28844             ,2032                ,664                 ,3921                ,2654                ,0.76328             ,0.20887             ,0.90818             ,0.16114             ,0.84009             ,0.51137             ,0.0666              ,0.20836             ,0.83136             ,0.07965             ,0.18082             ,0.59166             ,0.43659             ,0.17173             ,0.71034             ,0.39624             ,0.47288             ,-0.01142            ,0.0655              ,0.05237             ,0.46261             ,0.18903             ,0.90365             ,0.64557             ,0.18682             ,0.81555             ,0.61237             ,0.7279              ,0.3122              ,0.28356             ,0.7246              ,0.00249             ,0.27698             ,0.45939             ,0.55669             ,0.3422              ,0.6697              ,0.1628              ,0.29628             ,0.43582             ,0.67778             ,0.69887             ,0.4319              ,0.39246             ,0.07396             ,0.0933              ,0.60163             ,0.90733             ,0.37428             ,0.10008             ,0.53242             ,0.71665             ,0.58516             ,0.40023             ,0.01625             ,0.30862             ,0.26244             ,0.48992             ,0.93334             ,0.4433              ,0.43511             ,0.31405             ,0.51517             ,0.0822              ,0.06389             ,0.5414              ,0.44604             ,0.95223             ,0.17156             ,0.74904             ,0.57246             ,0.73304             
200                 ,0.36092             ,0.38768             ,0.10903             ,0.10637             ,1129                ,2363                ,3073                ,2019                ,0.69754             ,0.72881             ,0.83133             ,0.4078              ,0.83062             ,0.42829             ,0.96971             ,0.34239             ,0.10845             ,0.17558             ,0.56175             ,0.70801             ,0.75291             ,0.75159             ,0.13353             ,0.8356              ,-0.00654            ,0.41871             ,0.50629             ,0.4712              ,0.08413             ,0.14802             ,0.38256             ,0.68909             ,0.84907             ,0.49046             ,0.03019             ,0.68223             ,0.10149             ,0.80912             ,0.26696             ,0.04757             ,0.49939             ,0.67586             ,0.30827             ,0.27276             ,0.75794             ,0.78824             ,0.90844             ,0.91616             ,0.14895             ,0.47945             ,0.31327             ,0.71348             ,0.80114             ,0.54664             ,0.1719              ,0.34823             ,0.57181             ,0.64894             ,0.22034             ,0.01057             ,0.74793             ,0.83607             ,0.68332             ,0.92837             ,0.41968             ,0.05665             ,0.73085             ,0.26187             ,0.95079             ,0.27204             ,0.66789             ,0.21089             ,0.78774             ,0.47814             ,0.67697             ,0.3079              ,0.77894             ,0.17803             ,0.95479             ,0.28941             ,2018                ,616                 ,3922                ,2631                ,0.74759             ,0.20634             ,0.89929             ,0.15998             ,0.83715             ,0.50903             ,0.05618             ,0.20327             ,0.81921             ,0.0833              ,0.17728             ,0.58692             ,0.41921             ,0.17509             ,0.70521             ,0.37346             ,0.46223             ,-0.01464            ,0.06885             ,0.06034             ,0.43407             ,0.18819             ,0.89841             ,0.644               ,0.19537             ,0.77644             ,0.60299             ,0.72028             ,0.31099             ,0.26823             ,0.67902             ,-0.01534            ,0.27421             ,0.42944             ,0.55468             ,0.33181             ,0.60925             ,0.12811             ,0.28779             ,0.40108             ,0.63878             ,0.67336             ,0.42942             ,0.38118             ,0.081               ,0.09111             ,0.5489              ,0.8729              ,0.37499             ,0.1001              ,0.53342             ,0.71257             ,0.58507             ,0.39965             ,0.01655             ,0.30813             ,0.26296             ,0.48736             ,0.93134             ,0.44308             ,0.43573             ,0.31539             ,0.51466             ,0.08327             ,0.07064             ,0.54794             ,0.44301             ,0.94204             ,0.16927             ,0.74874             ,0.5693              ,0.73281             
250                 ,0.48766             ,0.51656             ,0.09762             ,0.09452             ,1128                ,2361                ,3073                ,2020                ,0.69617             ,0.72282             ,0.79567             ,0.38798             ,0.79867             ,0.41989             ,0.96196             ,0.32629             ,0.1083              ,0.17387             ,0.54944             ,0.68171             ,0.75085             ,0.74562             ,0.13509             ,0.82606             ,-0.00651            ,0.41693             ,0.50169             ,0.46872             ,0.08285             ,0.14647             ,0.37551             ,0.6854              ,0.84002             ,0.46664             ,0.03027             ,0.64678             ,0.09537             ,0.77664             ,0.25547             ,0.04903             ,0.49491             ,0.63158             ,0.27001             ,0.26927             ,0.75099             ,0.7747              ,0.8903              ,0.89797             ,0.14687             ,0.4682              ,0.30914             ,0.69629             ,0.78282             ,0.52244             ,0.1687              ,0.34476             ,0.57203             ,0.64704             ,0.22051             ,0.01111             ,0.74245             ,0.82947             ,0.68263             ,0.92534             ,0.41904             ,0.05788             ,0.7258              ,0.25866             ,0.94881             ,0.27188             ,0.66283             ,0.21052             ,0.77938             ,0.47773             ,0.67494             ,0.30798             ,0.76869             ,0.17702             ,0.95151             ,0.29082             ,2020                ,575                 ,3921                ,2589                ,0.7284              ,0.20431             ,0.89059             ,0.1585              ,0.83358             ,0.50649             ,0.04603             ,0.19767             ,0.80551             ,0.08817             ,0.17039             ,0.58172             ,0.39867             ,0.17718             ,0.6983              ,0.34828             ,0.45267             ,-0.01588            ,0.07045             ,0.07019             ,0.4021              ,0.18671             ,0.89144             ,0.64325             ,0.20037             ,0.73816             ,0.59529             ,0.71179             ,0.30947             ,0.24393             ,0.63503             ,-0.02066            ,0.27042             ,0.39942             ,0.55166             ,0.31902             ,0.55201             ,0.09505             ,0.26876             ,0.36533             ,0.59573             ,0.64564             ,0.4242              ,0.37131             ,0.08305             ,0.0869              ,0.48976             ,0.83831             ,0.37537             ,0.10017             ,0.53648             ,0.70787             ,0.58511             ,0.39866             ,0.01716             ,0.30768             ,0.26377             ,0.48589             ,0.92892             ,0.44335             ,0.43609             ,0.31502             ,0.51422             ,0.08439             ,0.08099             ,0.55396             ,0.44158             ,0.93288             ,0.16716             ,0.74862             ,0.56544             ,0.73253             
300                 ,0.58483             ,0.60956             ,0.08788             ,0.08494             ,1112                ,2362                ,3073                ,2020                ,0.6951              ,0.71597             ,0.75952             ,0.36732             ,0.76565             ,0.41102             ,0.95317             ,0.31126             ,0.10779             ,0.17096             ,0.53504             ,0.65407             ,0.74831             ,0.73968             ,0.13572             ,0.81582             ,-0.0083             ,0.4149              ,0.49671             ,0.46601             ,0.07872             ,0.14499             ,0.36598             ,0.68097             ,0.83346             ,0.43964             ,0.03021             ,0.61125             ,0.08907             ,0.74848             ,0.23865             ,0.05418             ,0.48996             ,0.58862             ,0.22862             ,0.25882             ,0.74194             ,0.76083             ,0.87156             ,0.87854             ,0.14196             ,0.45373             ,0.30635             ,0.67817             ,0.76042             ,0.49659             ,0.15974             ,0.33812             ,0.57261             ,0.64482             ,0.22073             ,0.01186             ,0.73646             ,0.82336             ,0.68191             ,0.92215             ,0.41842             ,0.05954             ,0.72163             ,0.25776             ,0.94652             ,0.27205             ,0.6578              ,0.21004             ,0.77197             ,0.47739             ,0.67276             ,0.30776             ,0.75767             ,0.17633             ,0.94809             ,0.29267             ,2020                ,543                 ,3918                ,2547                ,0.70687             ,0.20245             ,0.88233             ,0.15685             ,0.82961             ,0.50366             ,0.03692             ,0.19148             ,0.79051             ,0.09386             ,0.16181             ,0.57599             ,0.37814             ,0.17638             ,0.69033             ,0.32216             ,0.44122             ,-0.01574            ,0.07058             ,0.07949             ,0.36912             ,0.18374             ,0.88364             ,0.64317             ,0.20286             ,0.70057             ,0.58976             ,0.70346             ,0.30791             ,0.2173              ,0.59265             ,-0.01731            ,0.26585             ,0.37088             ,0.54569             ,0.3053              ,0.50097             ,0.06835             ,0.24626             ,0.33023             ,0.54916             ,0.6184              ,0.41749             ,0.36358             ,0.08194             ,0.08154             ,0.43364             ,0.8072              ,0.37561             ,0.10023             ,0.54008             ,0.70309             ,0.5851              ,0.3975              ,0.01791             ,0.3074              ,0.26462             ,0.48522             ,0.92558             ,0.44409             ,0.43524             ,0.31322             ,0.51392             ,0.08557             ,0.09174             ,0.55844             ,0.44074             ,0.92511             ,0.16588             ,0.74853             ,0.56148             ,0.73217             
350                 ,0.65203             ,0.67091             ,0.08045             ,0.07798             ,1079                ,2362                ,3071                ,2021                ,0.69412             ,0.70877             ,0.72333             ,0.34631             ,0.73163             ,0.40206             ,0.94353             ,0.29729             ,0.10692             ,0.1667              ,0.51924             ,0.62577             ,0.7452              ,0.73383             ,0.13515             ,0.80576             ,-0.01213            ,0.41267             ,0.49064             ,0.46342             ,0.07281             ,0.14381             ,0.35502             ,0.67557             ,0.82887             ,0.4134              ,0.03003             ,0.57611             ,0.08414             ,0.72362             ,0.22033             ,0.0617              ,0.48455             ,0.5476              ,0.19228             ,0.24242             ,0.73108             ,0.74663             ,0.85112             ,0.85862             ,0.13203             ,0.4369              ,0.3038              ,0.66008             ,0.73514             ,0.46915             ,0.14619             ,0.32844             ,0.57317             ,0.6426              ,0.22107             ,0.01288             ,0.73055             ,0.81602             ,0.681               ,0.91905             ,0.41788             ,0.06123             ,0.71877             ,0.25812             ,0.94395             ,0.27246             ,0.65309             ,0.20989             ,0.766               ,0.47717             ,0.67049             ,0.30742             ,0.74747             ,0.17599             ,0.94478             ,0.29478             ,2020                ,518                 ,3913                ,2513                ,0.68379             ,0.20065             ,0.87423             ,0.15524             ,0.82539             ,0.5005              ,0.02893             ,0.1848              ,0.77468             ,0.09938             ,0.15329             ,0.56962             ,0.3593              ,0.17315             ,0.68193             ,0.29601             ,0.4252              ,-0.01454            ,0.06988             ,0.0872              ,0.33671             ,0.17897             ,0.87577             ,0.64335             ,0.20341             ,0.6638              ,0.58607             ,0.69584             ,0.30653             ,0.19425             ,0.55188             ,-0.01091            ,0.26099             ,0.34545             ,0.53536             ,0.29211             ,0.457               ,0.0529              ,0.22624             ,0.29666             ,0.50363             ,0.59338             ,0.41016             ,0.35831             ,0.07921             ,0.07589             ,0.38577             ,0.7807              ,0.37584             ,0.10029             ,0.54299             ,0.69856             ,0.5849              ,0.3965              ,0.01864             ,0.30733             ,0.26545             ,0.48495             ,0.92138             ,0.44493             ,0.43257             ,0.31088             ,0.51374             ,0.08683             ,0.10082             ,0.5604              ,0.4399              ,0.91894             ,0.16538             ,0.74826             ,0.55804             ,0.73133             
400                 ,0.69788             ,0.71161             ,0.07496             ,0.073               ,1039                ,2362                ,3066                ,2021                ,0.69337             ,0.70143             ,0.68734             ,0.32522             ,0.69687             ,0.39368             ,0.93335             ,0.28377             ,0.10597             ,0.16139             ,0.50209             ,0.59809             ,0.74144             ,0.72788             ,0.13341             ,0.79585             ,-0.01667            ,0.41031             ,0.48301             ,0.46105             ,0.06391             ,0.14298             ,0.34424             ,0.66882             ,0.82606             ,0.39058             ,0.02961             ,0.54158             ,0.07962             ,0.69879             ,0.20361             ,0.07254             ,0.47863             ,0.50902             ,0.17094             ,0.22311             ,0.71886             ,0.73171             ,0.82869             ,0.8385              ,0.11672             ,0.41961             ,0.29992             ,0.64242             ,0.70944             ,0.44076             ,0.13048             ,0.3156              ,0.57361             ,0.64045             ,0.2214              ,0.014               ,0.72478             ,0.80657             ,0.67996             ,0.916               ,0.41751             ,0.06296             ,0.7162              ,0.25939             ,0.94114             ,0.273               ,0.64852             ,0.21008             ,0.7612              ,0.47711             ,0.66811             ,0.30694             ,0.73799             ,0.17587             ,0.94179             ,0.29679             ,2021                ,500                 ,3905                ,2477                ,0.65955             ,0.19878             ,0.86611             ,0.15376             ,0.821               ,0.49701             ,0.02215             ,0.1778              ,0.75826             ,0.10409             ,0.14519             ,0.56268             ,0.34236             ,0.1686              ,0.67338             ,0.27035             ,0.40397             ,-0.01255            ,0.06874             ,0.09324             ,0.30571             ,0.17272             ,0.86818             ,0.64368             ,0.20229             ,0.6279              ,0.5837              ,0.68895             ,0.30532             ,0.17793             ,0.51272             ,-0.00486            ,0.25602             ,0.32367             ,0.52099             ,0.28019             ,0.41946             ,0.05272             ,0.21047             ,0.26496             ,0.46645             ,0.57117             ,0.4026              ,0.35501             ,0.07587             ,0.07037             ,0.3478              ,0.75887             ,0.3759              ,0.1003              ,0.54477             ,0.69438             ,0.58449             ,0.3958              ,0.01934             ,0.30746             ,0.26614             ,0.48459             ,0.91587             ,0.44578             ,0.42784             ,0.3094              ,0.51367             ,0.08819             ,0.10839             ,0.55972             ,0.43874             ,0.91404             ,0.16551             ,0.74778             ,0.55544             ,0.73002             
450                 ,0.72674             ,0.73785             ,0.07129             ,0.0696              ,1006                ,2362                ,3060                ,2021                ,0.69254             ,0.69407             ,0.65176             ,0.30428             ,0.66185             ,0.38536             ,0.92272             ,0.26972             ,0.10505             ,0.15499             ,0.48444             ,0.57078             ,0.73708             ,0.72144             ,0.13118             ,0.78604             ,-0.02007            ,0.4079              ,0.47376             ,0.45894             ,0.0543              ,0.14225             ,0.33435             ,0.66087             ,0.82271             ,0.37217             ,0.02896             ,0.50785             ,0.07293             ,0.66983             ,0.18989             ,0.08378             ,0.47239             ,0.47174             ,0.16821             ,0.2035              ,0.70564             ,0.71564             ,0.80446             ,0.81859             ,0.0981              ,0.40383             ,0.29364             ,0.62517             ,0.68496             ,0.41229             ,0.11519             ,0.3014              ,0.57372             ,0.63839             ,0.22169             ,0.01518             ,0.71913             ,0.79434             ,0.6788              ,0.91285             ,0.41718             ,0.06433             ,0.71271             ,0.2606              ,0.9381              ,0.27354             ,0.64413             ,0.21083             ,0.75636             ,0.47722             ,0.66556             ,0.30647             ,0.72839             ,0.17578             ,0.93882             ,0.29864             ,2021                ,485                 ,3899                ,2454                ,0.63469             ,0.19679             ,0.85743             ,0.15242             ,0.81638             ,0.49315             ,0.01645             ,0.17058             ,0.74153             ,0.10757             ,0.13804             ,0.55515             ,0.32725             ,0.16343             ,0.66465             ,0.24558             ,0.38065             ,-0.01061            ,0.06742             ,0.09754             ,0.27639             ,0.16561             ,0.86101             ,0.64371             ,0.19988             ,0.59287             ,0.58096             ,0.68248             ,0.30412             ,0.16689             ,0.47518             ,-0.00099            ,0.25129             ,0.30452             ,0.50447             ,0.26936             ,0.38684             ,0.0575              ,0.19798             ,0.23531             ,0.43499             ,0.55123             ,0.39483             ,0.35279             ,0.07241             ,0.06541             ,0.31753             ,0.73945             ,0.37586             ,0.10022             ,0.54552             ,0.69039             ,0.58388             ,0.39531             ,0.01993             ,0.30773             ,0.2667              ,0.48385             ,0.90927             ,0.44638             ,0.42214             ,0.30864             ,0.51359             ,0.08974             ,0.11441             ,0.55722             ,0.43723             ,0.90953             ,0.16597             ,0.74711             ,0.55334             ,0.72825             
500                 ,0.74376             ,0.75383             ,0.06904             ,0.06745             ,986                 ,2362                ,3057                ,2021                ,0.69141             ,0.68672             ,0.61681             ,0.28356             ,0.62708             ,0.37687             ,0.91168             ,0.25399             ,0.10423             ,0.14773             ,0.46674             ,0.5435              ,0.73247             ,0.714               ,0.12867             ,0.77573             ,-0.02123            ,0.40539             ,0.46351             ,0.45702             ,0.04522             ,0.1415              ,0.32534             ,0.65196             ,0.81687             ,0.35745             ,0.02819             ,0.47499             ,0.06179             ,0.63572             ,0.17917             ,0.09385             ,0.46601             ,0.43528             ,0.17916             ,0.18525             ,0.69222             ,0.69797             ,0.77935             ,0.79865             ,0.0795              ,0.39084             ,0.28522             ,0.60801             ,0.66191             ,0.38439             ,0.1024              ,0.28786             ,0.57342             ,0.6364              ,0.22195             ,0.01622             ,0.71338             ,0.78007             ,0.67753             ,0.90944             ,0.41672             ,0.06517             ,0.70752             ,0.26068             ,0.93492             ,0.27382             ,0.63941             ,0.2118              ,0.7499              ,0.4774              ,0.66287             ,0.30609             ,0.71777             ,0.17568             ,0.93534             ,0.30012             ,2021                ,474                 ,3895                ,2439                ,0.60979             ,0.19458             ,0.84751             ,0.15123             ,0.81157             ,0.4889              ,0.01188             ,0.16323             ,0.7245              ,0.10989             ,0.13188             ,0.54719             ,0.31319             ,0.15778             ,0.65556             ,0.22193             ,0.3578              ,-0.00905            ,0.06617             ,0.1004              ,0.24871             ,0.15855             ,0.85409             ,0.64332             ,0.19713             ,0.55868             ,0.57606             ,0.67593             ,0.30286             ,0.15881             ,0.43926             ,0.00924             ,0.24687             ,0.28627             ,0.48824             ,0.25916             ,0.35702             ,0.06088             ,0.18658             ,0.2079              ,0.40635             ,0.53241             ,0.38672             ,0.35077             ,0.06894             ,0.06118             ,0.29098             ,0.7204              ,0.37576             ,0.10012             ,0.54554             ,0.68639             ,0.58319             ,0.39492             ,0.02044             ,0.30795             ,0.26712             ,0.48258             ,0.90221             ,0.44672             ,0.41652             ,0.30826             ,0.51337             ,0.09107             ,0.11964             ,0.55413             ,0.43552             ,0.90474             ,0.1665              ,0.74626             ,0.55129             ,0.72627             
