epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0                   ,0                   ,0.13877             ,0.13859             ,2163                ,4031                ,0.49791             
100                 ,0                   ,0                   ,0.13692             ,0.13656             ,2145                ,4019                ,0.50233             
150                 ,0                   ,0                   ,0.13684             ,0.13649             ,2142                ,4009                ,0.50204             
200                 ,0                   ,0                   ,0.13678             ,0.13641             ,2142                ,4000                ,0.50193             
250                 ,0                   ,0                   ,0.13672             ,0.13634             ,2142                ,3990                ,0.50181             
300                 ,0                   ,0                   ,0.13665             ,0.13626             ,2142                ,3981                ,0.50169             
350                 ,0                   ,0                   ,0.13658             ,0.13617             ,2142                ,3971                ,0.5016              
400                 ,0                   ,0                   ,0.13651             ,0.13608             ,2142                ,3960                ,0.5015              
450                 ,0                   ,0                   ,0.13644             ,0.13598             ,2142                ,3949                ,0.50139             
500                 ,0.00057             ,0.00122             ,0.13634             ,0.13586             ,2151                ,3936                ,0.50121             
550                 ,0.00233             ,0.0035              ,0.13622             ,0.1357              ,2174                ,3921                ,0.50087             
600                 ,0.00515             ,0.00676             ,0.13603             ,0.13548             ,2235                ,3902                ,0.50046             
650                 ,0.00793             ,0.01001             ,0.13584             ,0.13526             ,2298                ,3891                ,0.50006             
700                 ,0.01104             ,0.01358             ,0.13563             ,0.13501             ,2350                ,3879                ,0.49968             
750                 ,0.01784             ,0.02077             ,0.13516             ,0.13452             ,2454                ,3854                ,0.49929             
800                 ,0.03425             ,0.03866             ,0.13403             ,0.13329             ,2474                ,3814                ,0.49914             
850                 ,0.04613             ,0.0523              ,0.1332              ,0.13234             ,2473                ,3816                ,0.49917             
900                 ,0.05812             ,0.0657              ,0.13236             ,0.1314              ,2474                ,3816                ,0.49964             
950                 ,0.0694              ,0.07875             ,0.13157             ,0.13048             ,2474                ,3816                ,0.50035             
1000                ,0.07985             ,0.09106             ,0.13082             ,0.1296              ,2474                ,3816                ,0.50118             
1050                ,0.08931             ,0.10237             ,0.13015             ,0.12879             ,2474                ,3816                ,0.50213             
1100                ,0.09755             ,0.11248             ,0.12956             ,0.12807             ,2474                ,3815                ,0.50313             
1150                ,0.10446             ,0.12123             ,0.12906             ,0.12743             ,2474                ,3815                ,0.50416             
1200                ,0.11006             ,0.12857             ,0.12866             ,0.1269              ,2474                ,3814                ,0.50513             
1250                ,0.11451             ,0.13464             ,0.12834             ,0.12646             ,2474                ,3813                ,0.50609             
1300                ,0.11792             ,0.13961             ,0.12809             ,0.12609             ,2474                ,3813                ,0.50693             
1350                ,0.12048             ,0.1436              ,0.1279              ,0.1258              ,2474                ,3813                ,0.50762             
1400                ,0.12238             ,0.14681             ,0.12777             ,0.12557             ,2474                ,3813                ,0.50821             
1450                ,0.12379             ,0.14935             ,0.12766             ,0.12538             ,2474                ,3813                ,0.50875             
1500                ,0.12485             ,0.15124             ,0.12759             ,0.12524             ,2474                ,3812                ,0.50915             
1550                ,0.12562             ,0.15276             ,0.12753             ,0.12513             ,2474                ,3812                ,0.50959             
1600                ,0.12618             ,0.15398             ,0.12749             ,0.12504             ,2474                ,3812                ,0.51006             
1650                ,0.12656             ,0.15494             ,0.12746             ,0.12497             ,2474                ,3812                ,0.51066             
1700                ,0.12684             ,0.15569             ,0.12744             ,0.12491             ,2474                ,3812                ,0.51121             
