epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.13747             ,0.13735             ,543                 ,4040                ,495                 ,0.8292              ,0.16747             
100                 ,0.05907             ,0.06146             ,0.13229             ,0.1317              ,536                 ,4032                ,501                 ,0.83441             ,0.1635              
150                 ,0.13127             ,0.14052             ,0.12712             ,0.12603             ,518                 ,4021                ,500                 ,0.83661             ,0.16222             
200                 ,0.21789             ,0.23531             ,0.12061             ,0.11887             ,494                 ,4010                ,487                 ,0.83595             ,0.16318             
250                 ,0.30505             ,0.33037             ,0.11369             ,0.11124             ,468                 ,4000                ,466                 ,0.83279             ,0.16588             
300                 ,0.37028             ,0.40039             ,0.10823             ,0.10526             ,444                 ,3992                ,442                 ,0.82834             ,0.16883             
350                 ,0.41009             ,0.44059             ,0.10475             ,0.10167             ,424                 ,3985                ,421                 ,0.82291             ,0.17139             
400                 ,0.44312             ,0.47008             ,0.10178             ,0.09896             ,407                 ,3978                ,403                 ,0.81676             ,0.17419             
450                 ,0.46089             ,0.48398             ,0.10014             ,0.09765             ,394                 ,3971                ,389                 ,0.81206             ,0.17548             
500                 ,0.47084             ,0.48959             ,0.09921             ,0.09712             ,383                 ,3964                ,378                 ,0.80693             ,0.17656             
550                 ,0.47628             ,0.49145             ,0.0987              ,0.09694             ,376                 ,3960                ,369                 ,0.80131             ,0.17755             
600                 ,0.48005             ,0.49239             ,0.09834             ,0.09685             ,370                 ,3959                ,362                 ,0.7951              ,0.17863             
650                 ,0.4827              ,0.49305             ,0.09809             ,0.09679             ,366                 ,3959                ,355                 ,0.7883              ,0.17982             
700                 ,0.48465             ,0.49375             ,0.09791             ,0.09672             ,362                 ,3959                ,350                 ,0.78109             ,0.18099             
750                 ,0.48618             ,0.49426             ,0.09776             ,0.09667             ,359                 ,3959                ,345                 ,0.77342             ,0.18219             
800                 ,0.48741             ,0.49485             ,0.09764             ,0.09662             ,357                 ,3960                ,341                 ,0.76541             ,0.18335             
