epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.23001             ,0.25077             ,0.11968             ,0.11767             ,2949                ,3616                ,410                 ,219                 ,0.69704             ,0.41947             ,0.10554             
100                 ,0.44336             ,0.47033             ,0.10175             ,0.09893             ,2956                ,3617                ,392                 ,232                 ,0.73306             ,0.45219             ,0.12975             
150                 ,0.50053             ,0.51671             ,0.09639             ,0.0945              ,2988                ,3616                ,383                 ,246                 ,0.7455              ,0.46112             ,0.13676             
200                 ,0.53793             ,0.54057             ,0.09271             ,0.09214             ,2984                ,3616                ,378                 ,256                 ,0.74877             ,0.46258             ,0.14102             
250                 ,0.54735             ,0.54139             ,0.09176             ,0.09206             ,2989                ,3617                ,373                 ,263                 ,0.75434             ,0.46811             ,0.1498              
300                 ,0.55135             ,0.54337             ,0.09135             ,0.09186             ,2989                ,3617                ,370                 ,267                 ,0.75767             ,0.47407             ,0.15885             
350                 ,0.55472             ,0.54688             ,0.09101             ,0.09151             ,2988                ,3617                ,369                 ,270                 ,0.75994             ,0.4799              ,0.16763             
400                 ,0.55809             ,0.54967             ,0.09066             ,0.09122             ,2987                ,3616                ,367                 ,269                 ,0.76178             ,0.48564             ,0.17618             
450                 ,0.56123             ,0.553               ,0.09034             ,0.09089             ,2987                ,3616                ,364                 ,268                 ,0.76325             ,0.49135             ,0.18455             
500                 ,0.56451             ,0.55529             ,0.09                ,0.09065             ,2986                ,3616                ,361                 ,265                 ,0.76495             ,0.49696             ,0.19269             
550                 ,0.56755             ,0.55737             ,0.08969             ,0.09044             ,2986                ,3615                ,358                 ,260                 ,0.76564             ,0.50253             ,0.20052             
600                 ,0.57035             ,0.55954             ,0.0894              ,0.09022             ,2986                ,3614                ,354                 ,255                 ,0.76594             ,0.50808             ,0.20816             
650                 ,0.57285             ,0.56182             ,0.08914             ,0.08999             ,2986                ,3609                ,353                 ,250                 ,0.76594             ,0.51359             ,0.21557             
700                 ,0.57633             ,0.56614             ,0.08877             ,0.08954             ,2984                ,3576                ,353                 ,246                 ,0.76522             ,0.52005             ,0.22276             
750                 ,0.59889             ,0.58926             ,0.08638             ,0.08712             ,2977                ,3476                ,349                 ,243                 ,0.76296             ,0.53303             ,0.23141             
800                 ,0.65086             ,0.645               ,0.08059             ,0.081               ,2971                ,3456                ,338                 ,246                 ,0.76009             ,0.55955             ,0.24643             
