epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0                   ,0                   ,0.13646             ,0.13599             ,2566                ,3130                ,0.24197             ,0.32141             
100                 ,0                   ,0.00026             ,0.1364              ,0.13592             ,2555                ,3130                ,0.24326             ,0.32121             
150                 ,0.00045             ,0.00067             ,0.13635             ,0.13589             ,2538                ,3127                ,0.24391             ,0.32072             
200                 ,0.0013              ,0.00134             ,0.13629             ,0.13585             ,2511                ,3123                ,0.24513             ,0.32027             
250                 ,0.00226             ,0.00218             ,0.13623             ,0.13579             ,2475                ,3123                ,0.24685             ,0.31976             
300                 ,0.00318             ,0.00303             ,0.13617             ,0.13573             ,2463                ,3123                ,0.24905             ,0.31924             
350                 ,0.00412             ,0.00392             ,0.1361              ,0.13567             ,2460                ,3123                ,0.25165             ,0.31874             
400                 ,0.00508             ,0.00484             ,0.13604             ,0.13561             ,2461                ,3123                ,0.25463             ,0.31832             
450                 ,0.00605             ,0.00578             ,0.13597             ,0.13555             ,2461                ,3123                ,0.25796             ,0.318               
500                 ,0.00701             ,0.00673             ,0.1359              ,0.13548             ,2461                ,3123                ,0.2616              ,0.3178              
550                 ,0.00796             ,0.00767             ,0.13584             ,0.13542             ,2461                ,3123                ,0.26553             ,0.31773             
600                 ,0.01055             ,0.01023             ,0.13566             ,0.13524             ,2461                ,3094                ,0.27029             ,0.31779             
650                 ,0.01275             ,0.01251             ,0.13551             ,0.13509             ,2461                ,3071                ,0.27633             ,0.31815             
700                 ,0.01409             ,0.01382             ,0.13542             ,0.135               ,2461                ,3071                ,0.28254             ,0.31905             
750                 ,0.01532             ,0.01502             ,0.13533             ,0.13491             ,2461                ,3072                ,0.28902             ,0.32048             
800                 ,0.01648             ,0.01611             ,0.13526             ,0.13484             ,2461                ,3073                ,0.29564             ,0.32196             
850                 ,0.01746             ,0.01698             ,0.13519             ,0.13478             ,2461                ,3073                ,0.30149             ,0.32229             
900                 ,0.01837             ,0.01772             ,0.13512             ,0.13473             ,2461                ,3073                ,0.30794             ,0.32251             
950                 ,0.01914             ,0.01819             ,0.13507             ,0.1347              ,2461                ,3073                ,0.31404             ,0.32283             
1000                ,0.01966             ,0.01855             ,0.13504             ,0.13467             ,2461                ,3073                ,0.31718             ,0.32399             
1050                ,0.02006             ,0.01889             ,0.13501             ,0.13465             ,2461                ,3073                ,0.31919             ,0.32541             
1100                ,0.02038             ,0.01914             ,0.13499             ,0.13463             ,2461                ,3074                ,0.32112             ,0.32667             
1150                ,0.02065             ,0.01934             ,0.13497             ,0.13462             ,2461                ,3076                ,0.32275             ,0.32791             
1200                ,0.02084             ,0.01949             ,0.13495             ,0.13461             ,2461                ,3075                ,0.32429             ,0.32899             
1250                ,0.021               ,0.01955             ,0.13494             ,0.1346              ,2461                ,3076                ,0.32592             ,0.32991             
1300                ,0.02112             ,0.01963             ,0.13494             ,0.1346              ,2461                ,3076                ,0.32707             ,0.33077             
1350                ,0.02121             ,0.01966             ,0.13493             ,0.1346              ,2461                ,3076                ,0.32828             ,0.3315              
1400                ,0.02127             ,0.0197              ,0.13493             ,0.13459             ,2461                ,3076                ,0.32906             ,0.33218             
1450                ,0.02133             ,0.01973             ,0.13492             ,0.13459             ,2461                ,3076                ,0.32973             ,0.33276             
1500                ,0.02137             ,0.01975             ,0.13492             ,0.13459             ,2461                ,3076                ,0.33035             ,0.33326             
1550                ,0.02141             ,0.01977             ,0.13492             ,0.13459             ,2461                ,3076                ,0.33085             ,0.33372             
1600                ,0.02144             ,0.01978             ,0.13491             ,0.13459             ,2461                ,3076                ,0.3313              ,0.33411             
1650                ,0.02147             ,0.0198              ,0.13491             ,0.13459             ,2461                ,3076                ,0.33158             ,0.33449             
1700                ,0.0215              ,0.0198              ,0.13491             ,0.13459             ,2461                ,3076                ,0.33202             ,0.33479             
1750                ,0.02152             ,0.01982             ,0.13491             ,0.13459             ,2461                ,3076                ,0.33223             ,0.33513             
1800                ,0.02155             ,0.01985             ,0.13491             ,0.13458             ,2461                ,3076                ,0.33239             ,0.33545             
1850                ,0.02157             ,0.01988             ,0.1349              ,0.13458             ,2461                ,3076                ,0.33252             ,0.33576             
1900                ,0.0216              ,0.01991             ,0.1349              ,0.13458             ,2461                ,3076                ,0.33262             ,0.33606             
1950                ,0.02163             ,0.01994             ,0.1349              ,0.13458             ,2461                ,3076                ,0.33272             ,0.33637             
2000                ,0.02166             ,0.01998             ,0.1349              ,0.13457             ,2461                ,3076                ,0.33279             ,0.33669             
2050                ,0.02169             ,0.02002             ,0.1349              ,0.13457             ,2461                ,3076                ,0.33285             ,0.33703             
2100                ,0.02172             ,0.02006             ,0.13489             ,0.13457             ,2461                ,3076                ,0.3329              ,0.33739             
2150                ,0.02175             ,0.02011             ,0.13489             ,0.13457             ,2461                ,3076                ,0.33294             ,0.33778             
2200                ,0.02179             ,0.02016             ,0.13489             ,0.13456             ,2461                ,3076                ,0.33297             ,0.33819             
2250                ,0.02183             ,0.02022             ,0.13489             ,0.13456             ,2461                ,3076                ,0.33301             ,0.33864             
2300                ,0.02188             ,0.02028             ,0.13488             ,0.13455             ,2461                ,3076                ,0.33304             ,0.33912             
2350                ,0.02193             ,0.02034             ,0.13488             ,0.13455             ,2461                ,3076                ,0.33306             ,0.33965             
2400                ,0.02198             ,0.02042             ,0.13488             ,0.13454             ,2461                ,3076                ,0.33308             ,0.34022             
2450                ,0.02204             ,0.0205              ,0.13487             ,0.13454             ,2461                ,3076                ,0.33311             ,0.34084             
2500                ,0.0221              ,0.02059             ,0.13487             ,0.13453             ,2461                ,3076                ,0.33314             ,0.34153             
2550                ,0.02217             ,0.02068             ,0.13486             ,0.13453             ,2461                ,3076                ,0.33322             ,0.34226             
2600                ,0.02225             ,0.02078             ,0.13486             ,0.13452             ,2461                ,3076                ,0.33328             ,0.34307             
2650                ,0.02234             ,0.0209              ,0.13485             ,0.13451             ,2461                ,3076                ,0.33332             ,0.34397             
2700                ,0.02243             ,0.02102             ,0.13485             ,0.1345              ,2461                ,3076                ,0.33337             ,0.34495             
2750                ,0.02254             ,0.02116             ,0.13484             ,0.13449             ,2461                ,3076                ,0.33342             ,0.34601             
2800                ,0.02265             ,0.02132             ,0.13483             ,0.13448             ,2461                ,3076                ,0.3335              ,0.34718             
2850                ,0.02277             ,0.02148             ,0.13482             ,0.13447             ,2461                ,3076                ,0.33359             ,0.34845             
2900                ,0.02291             ,0.02167             ,0.13481             ,0.13446             ,2461                ,3076                ,0.3337              ,0.34984             
2950                ,0.02306             ,0.02187             ,0.1348              ,0.13444             ,2461                ,3076                ,0.33384             ,0.35135             
3000                ,0.02322             ,0.02209             ,0.13479             ,0.13443             ,2461                ,3076                ,0.33402             ,0.353               
3050                ,0.02338             ,0.02232             ,0.13478             ,0.13441             ,2461                ,3076                ,0.33418             ,0.35468             
3100                ,0.02356             ,0.02257             ,0.13477             ,0.1344              ,2461                ,3076                ,0.33437             ,0.35648             
3150                ,0.02374             ,0.02283             ,0.13475             ,0.13438             ,2461                ,3076                ,0.33465             ,0.35842             
3200                ,0.02394             ,0.02311             ,0.13474             ,0.13436             ,2461                ,3076                ,0.33494             ,0.36051             
3250                ,0.02415             ,0.02341             ,0.13473             ,0.13434             ,2461                ,3076                ,0.33538             ,0.36275             
3300                ,0.02437             ,0.02373             ,0.13471             ,0.13432             ,2461                ,3076                ,0.33582             ,0.36516             
3350                ,0.02461             ,0.02403             ,0.13469             ,0.1343              ,2461                ,3076                ,0.33662             ,0.36767             
3400                ,0.02486             ,0.02439             ,0.13468             ,0.13427             ,2461                ,3076                ,0.33725             ,0.37042             
3450                ,0.02512             ,0.02477             ,0.13466             ,0.13425             ,2461                ,3076                ,0.33796             ,0.3733              
3500                ,0.02539             ,0.02515             ,0.13464             ,0.13422             ,2461                ,3076                ,0.33882             ,0.3763              
3550                ,0.02567             ,0.02555             ,0.13462             ,0.13419             ,2461                ,3076                ,0.33976             ,0.37944             
3600                ,0.02596             ,0.0259              ,0.1346              ,0.13417             ,2461                ,3076                ,0.3413              ,0.38269             
3650                ,0.02625             ,0.02633             ,0.13458             ,0.13414             ,2461                ,3076                ,0.34252             ,0.38614             
3700                ,0.02655             ,0.02675             ,0.13456             ,0.13411             ,2461                ,3076                ,0.34394             ,0.38967             
3750                ,0.02684             ,0.02719             ,0.13454             ,0.13408             ,2461                ,3076                ,0.34533             ,0.3933              
3800                ,0.02712             ,0.02763             ,0.13452             ,0.13405             ,2461                ,3076                ,0.34671             ,0.39698             
