epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.03392             ,0.03505             ,0.13405             ,0.13354             ,4194                ,3589                ,4117                ,0.28651             ,0.75166             ,0.37327             ,0.72999             ,0.73657             ,0.03709             ,0.39132             ,0.85976             ,0.36638             ,0.21823             ,0.71551             ,0.88481             
100                 ,0.05724             ,0.05779             ,0.13242             ,0.13195             ,4194                ,3605                ,4114                ,0.28605             ,0.75042             ,0.36043             ,0.71293             ,0.73429             ,0.04083             ,0.3874              ,0.85816             ,0.37795             ,0.22251             ,0.71347             ,0.87623             
150                 ,0.06706             ,0.06765             ,0.13173             ,0.13126             ,4194                ,3618                ,4112                ,0.28372             ,0.74718             ,0.35352             ,0.69297             ,0.72941             ,0.04219             ,0.38493             ,0.85715             ,0.38333             ,0.2262              ,0.71207             ,0.8715              
200                 ,0.07281             ,0.07353             ,0.13132             ,0.13085             ,4194                ,3618                ,4110                ,0.27957             ,0.74333             ,0.34718             ,0.6691              ,0.72359             ,0.04224             ,0.38401             ,0.8557              ,0.38813             ,0.23163             ,0.70996             ,0.86848             
250                 ,0.07927             ,0.08016             ,0.13087             ,0.13038             ,4194                ,3618                ,4108                ,0.27546             ,0.7388              ,0.33997             ,0.64279             ,0.71669             ,0.04315             ,0.38308             ,0.8541              ,0.39387             ,0.23784             ,0.70745             ,0.86492             
300                 ,0.08639             ,0.08745             ,0.13036             ,0.12986             ,4194                ,3618                ,4106                ,0.27148             ,0.73364             ,0.33199             ,0.61436             ,0.70871             ,0.04457             ,0.38227             ,0.85235             ,0.40051             ,0.2449              ,0.70452             ,0.86099             
350                 ,0.09404             ,0.09538             ,0.12981             ,0.12929             ,4194                ,3618                ,4105                ,0.26781             ,0.72792             ,0.32331             ,0.58437             ,0.69962             ,0.04612             ,0.3816              ,0.85047             ,0.40792             ,0.25255             ,0.70129             ,0.85668             
400                 ,0.10191             ,0.10345             ,0.12925             ,0.12872             ,4194                ,3618                ,4104                ,0.26466             ,0.7217              ,0.31389             ,0.55353             ,0.6894              ,0.04743             ,0.381               ,0.8485              ,0.41601             ,0.2604              ,0.69792             ,0.85195             
450                 ,0.10958             ,0.11133             ,0.12869             ,0.12815             ,4194                ,3618                ,4104                ,0.26227             ,0.71507             ,0.30364             ,0.52286             ,0.67804             ,0.04829             ,0.38026             ,0.84648             ,0.42463             ,0.26777             ,0.69471             ,0.84659             
500                 ,0.11665             ,0.1187              ,0.12818             ,0.12762             ,4194                ,3618                ,4103                ,0.26061             ,0.7082              ,0.2926              ,0.49284             ,0.66582             ,0.04834             ,0.37935             ,0.84444             ,0.43348             ,0.27451             ,0.69171             ,0.84062             
550                 ,0.12284             ,0.12521             ,0.12773             ,0.12714             ,4194                ,3618                ,4103                ,0.25917             ,0.70126             ,0.28132             ,0.46318             ,0.65324             ,0.04687             ,0.37856             ,0.84237             ,0.44184             ,0.28109             ,0.68863             ,0.83438             
600                 ,0.12783             ,0.13051             ,0.12737             ,0.12676             ,4194                ,3618                ,4102                ,0.25782             ,0.69468             ,0.26954             ,0.4346              ,0.64059             ,0.04437             ,0.37779             ,0.84003             ,0.44948             ,0.28717             ,0.68582             ,0.82743             
650                 ,0.13152             ,0.13449             ,0.1271              ,0.12647             ,4194                ,3618                ,4102                ,0.25636             ,0.68844             ,0.2576              ,0.4076              ,0.62834             ,0.04083             ,0.37697             ,0.83765             ,0.45603             ,0.29251             ,0.68313             ,0.8202              
700                 ,0.13396             ,0.13721             ,0.12692             ,0.12627             ,4194                ,3618                ,4101                ,0.25457             ,0.6827              ,0.24568             ,0.38238             ,0.61685             ,0.03664             ,0.37613             ,0.83522             ,0.46127             ,0.29708             ,0.68054             ,0.81276             
750                 ,0.13541             ,0.13884             ,0.12681             ,0.12615             ,4194                ,3618                ,4099                ,0.25215             ,0.6775              ,0.23419             ,0.35862             ,0.60635             ,0.03232             ,0.37538             ,0.83276             ,0.46503             ,0.30112             ,0.67791             ,0.80533             
800                 ,0.13634             ,0.13995             ,0.12675             ,0.12607             ,4194                ,3618                ,4099                ,0.24949             ,0.67286             ,0.2226              ,0.33742             ,0.59675             ,0.02799             ,0.3743              ,0.83026             ,0.46775             ,0.30392             ,0.67556             ,0.79745             
850                 ,0.13686             ,0.14061             ,0.12671             ,0.12602             ,4194                ,3618                ,4098                ,0.24632             ,0.66866             ,0.2111              ,0.31805             ,0.58804             ,0.02326             ,0.37314             ,0.82771             ,0.46935             ,0.30602             ,0.67328             ,0.78946             
900                 ,0.1369              ,0.14073             ,0.12671             ,0.12601             ,4194                ,3618                ,4095                ,0.24264             ,0.66475             ,0.20012             ,0.3                 ,0.57995             ,0.01808             ,0.37195             ,0.82515             ,0.46998             ,0.3076              ,0.67102             ,0.78137             
950                 ,0.13671             ,0.14065             ,0.12672             ,0.12602             ,4194                ,3618                ,4092                ,0.23847             ,0.66103             ,0.19003             ,0.28255             ,0.57227             ,0.01245             ,0.3708              ,0.82259             ,0.46993             ,0.30894             ,0.66862             ,0.77322             
1000                ,0.13636             ,0.14035             ,0.12674             ,0.12604             ,4194                ,3618                ,4084                ,0.23375             ,0.65733             ,0.18148             ,0.26484             ,0.56467             ,0.00637             ,0.36984             ,0.82005             ,0.46934             ,0.3104              ,0.66594             ,0.76513             
1050                ,0.13809             ,0.14211             ,0.12662             ,0.12591             ,4194                ,3618                ,4067                ,0.22875             ,0.6533              ,0.1741              ,0.24648             ,0.55641             ,0.0003              ,0.36901             ,0.81756             ,0.46869             ,0.31217             ,0.6631              ,0.75692             
1100                ,0.14471             ,0.14868             ,0.12613             ,0.12543             ,4194                ,3618                ,4042                ,0.2245              ,0.64803             ,0.16086             ,0.22887             ,0.54587             ,-0.0053             ,0.36805             ,0.81469             ,0.46965             ,0.3149              ,0.66085             ,0.74837             
1150                ,0.15344             ,0.15776             ,0.12549             ,0.12476             ,4194                ,3618                ,4018                ,0.22205             ,0.6411              ,0.13461             ,0.21508             ,0.53237             ,-0.00946            ,0.36621             ,0.81114             ,0.4735              ,0.31827             ,0.66018             ,0.73892             
1200                ,0.16509             ,0.17037             ,0.12462             ,0.12382             ,4194                ,3618                ,3995                ,0.22039             ,0.63259             ,0.09675             ,0.2049              ,0.51566             ,-0.01241            ,0.36434             ,0.80698             ,0.47913             ,0.32265             ,0.6613              ,0.73019             
1250                ,0.18801             ,0.19473             ,0.1229              ,0.12199             ,4194                ,3618                ,3965                ,0.21976             ,0.62237             ,0.04214             ,0.19897             ,0.49453             ,-0.01107            ,0.36192             ,0.80199             ,0.48913             ,0.32834             ,0.66465             ,0.72225             
1300                ,0.23637             ,0.24593             ,0.11918             ,0.11805             ,4194                ,3619                ,3928                ,0.22087             ,0.61054             ,-0.04632            ,0.18615             ,0.46667             ,0.00927             ,0.3579              ,0.7934              ,0.51976             ,0.34354             ,0.66432             ,0.70905             
1350                ,0.29974             ,0.31409             ,0.11413             ,0.11258             ,4194                ,3620                ,3897                ,0.22268             ,0.59465             ,-0.12831            ,0.17495             ,0.42494             ,0.05194             ,0.35243             ,0.78378             ,0.55678             ,0.36075             ,0.66612             ,0.69737             
1400                ,0.33438             ,0.35292             ,0.11127             ,0.10935             ,4194                ,3621                ,3902                ,0.22162             ,0.57681             ,-0.18872            ,0.18243             ,0.37933             ,0.08768             ,0.34773             ,0.77689             ,0.57913             ,0.37077             ,0.67602             ,0.69898             
