epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.0165              ,0.01803             ,0.13525             ,0.13471             ,3964                ,989                 ,3589                ,2974                ,0.79465             ,0.337               ,0.94953             ,0.25736             ,0.35622             ,0.59858             ,0.09978             ,0.57979             ,0.96815             ,0.47004             ,0.47788             ,0.77655             ,0.28717             ,0.11402             ,0.4574              ,0.84056             ,0.53473             ,0.26814             ,0.63205             ,0.6231              ,0.35991             ,0.73593             ,0.30073             ,0.53855             ,0.03895             ,0.94115             ,0.00616             ,0.85585             ,0.72572             ,0.62271             ,0.11363             ,0.90065             ,0.54097             ,0.71876             ,0.94028             ,0.02632             ,0.72055             ,0.73037             ,0.78304             ,0.43291             ,0.61063             ,0.1243              ,0.31432             ,0.22663             ,0.07692             ,0.81695             ,0.99255             ,0.72894             ,0.36616             ,0.05003             ,0.07612             ,0.28452             ,0.45024             ,0.03959             ,0.69503             ,0.1383              ,0.55809             ,0.38276             ,0.72779             ,0.25308             ,0.12656             ,0.95679             ,0.23438             ,0.21535             ,0.37625             ,0.04817             ,0.48567             ,0.28043             ,0.44998             ,0.12308             ,0.88955             ,0.57982             
100                 ,0.03693             ,0.03942             ,0.13384             ,0.13323             ,3959                ,931                 ,3611                ,2971                ,0.75028             ,0.3361              ,0.90117             ,0.24841             ,0.35581             ,0.5829              ,0.09142             ,0.56315             ,0.95247             ,0.46616             ,0.48038             ,0.72825             ,0.27992             ,0.1139              ,0.4599              ,0.80373             ,0.52278             ,0.22257             ,0.59462             ,0.58857             ,0.33309             ,0.70561             ,0.29274             ,0.5135              ,0.02919             ,0.90267             ,0.00589             ,0.8092              ,0.68145             ,0.60078             ,0.12014             ,0.86044             ,0.51772             ,0.68934             ,0.95936             ,0.03191             ,0.68675             ,0.72482             ,0.76196             ,0.40553             ,0.55997             ,0.08594             ,0.27842             ,0.19176             ,0.08321             ,0.77814             ,0.97548             ,0.6798              ,0.36564             ,0.0493              ,0.08445             ,0.2787              ,0.44656             ,0.0468              ,0.6924              ,0.13771             ,0.5551              ,0.38521             ,0.729               ,0.25555             ,0.12035             ,0.94334             ,0.23715             ,0.2163              ,0.37244             ,0.04431             ,0.48611             ,0.28008             ,0.45066             ,0.1244              ,0.88119             ,0.56501             
150                 ,0.12382             ,0.13508             ,0.12766             ,0.12643             ,3952                ,855                 ,3617                ,2979                ,0.70672             ,0.33444             ,0.85401             ,0.23903             ,0.35026             ,0.57277             ,0.08101             ,0.55023             ,0.93213             ,0.46059             ,0.48409             ,0.68147             ,0.27114             ,0.11004             ,0.46426             ,0.76185             ,0.5137              ,0.18249             ,0.55784             ,0.54932             ,0.30427             ,0.67266             ,0.28249             ,0.46466             ,0.01964             ,0.8616              ,0.00506             ,0.7597              ,0.61871             ,0.58115             ,0.12549             ,0.82109             ,0.48457             ,0.65672             ,1.01098             ,0.03596             ,0.64914             ,0.71073             ,0.73896             ,0.36606             ,0.50721             ,0.06081             ,0.23322             ,0.12532             ,0.08181             ,0.73879             ,0.95261             ,0.6269              ,0.36437             ,0.05048             ,0.09535             ,0.27378             ,0.44187             ,0.06037             ,0.68815             ,0.13791             ,0.55229             ,0.38673             ,0.7309              ,0.25761             ,0.11354             ,0.92398             ,0.24256             ,0.21803             ,0.36373             ,0.02884             ,0.50212             ,0.2842              ,0.45302             ,0.12522             ,0.87208             ,0.56105             
200                 ,0.24902             ,0.27267             ,0.11819             ,0.11593             ,3941                ,787                 ,3617                ,2984                ,0.66524             ,0.32482             ,0.80811             ,0.23428             ,0.33632             ,0.56801             ,0.07604             ,0.54411             ,0.90484             ,0.45533             ,0.48872             ,0.63735             ,0.26636             ,0.08992             ,0.46393             ,0.722               ,0.51791             ,0.14712             ,0.5372              ,0.50646             ,0.27043             ,0.63241             ,0.26526             ,0.4036              ,0.01943             ,0.81701             ,0.00453             ,0.70674             ,0.53463             ,0.56911             ,0.1226              ,0.78733             ,0.44018             ,0.61408             ,1.01886             ,0.04622             ,0.61308             ,0.68118             ,0.69817             ,0.3202              ,0.4775              ,0.04307             ,0.25008             ,0.04308             ,0.07123             ,0.69228             ,0.92282             ,0.58904             ,0.36377             ,0.04994             ,0.1029              ,0.27799             ,0.43839             ,0.07495             ,0.68371             ,0.13858             ,0.55016             ,0.3903              ,0.73016             ,0.26609             ,0.11447             ,0.89664             ,0.24933             ,0.22993             ,0.34973             ,0.02818             ,0.52841             ,0.29322             ,0.45634             ,0.12522             ,0.86327             ,0.56698             
250                 ,0.3708              ,0.40258             ,0.10818             ,0.10507             ,3923                ,735                 ,3617                ,2988                ,0.62468             ,0.31182             ,0.76351             ,0.22991             ,0.3202              ,0.55575             ,0.0826              ,0.54139             ,0.87063             ,0.45132             ,0.48769             ,0.59688             ,0.26656             ,0.05362             ,0.45859             ,0.68755             ,0.51195             ,0.11657             ,0.5485              ,0.46991             ,0.23427             ,0.59306             ,0.23254             ,0.35921             ,0.01649             ,0.77246             ,0.00482             ,0.66815             ,0.46204             ,0.56183             ,0.11586             ,0.75767             ,0.38721             ,0.56339             ,0.96037             ,0.06274             ,0.58141             ,0.6484              ,0.6436              ,0.27336             ,0.46289             ,0.03156             ,0.33094             ,-0.03073            ,0.04323             ,0.64343             ,0.88286             ,0.56144             ,0.36303             ,0.0494              ,0.10792             ,0.29246             ,0.43099             ,0.08569             ,0.67872             ,0.14107             ,0.55129             ,0.39673             ,0.72596             ,0.28528             ,0.11851             ,0.86879             ,0.25876             ,0.25435             ,0.33761             ,0.04991             ,0.54514             ,0.3014              ,0.46354             ,0.13412             ,0.85586             ,0.54664             
300                 ,0.4945              ,0.52951             ,0.09697             ,0.09324             ,3896                ,694                 ,3617                ,2989                ,0.58499             ,0.29776             ,0.7202              ,0.22693             ,0.30542             ,0.53574             ,0.09924             ,0.54821             ,0.83093             ,0.45088             ,0.4802              ,0.56021             ,0.27185             ,0.00878             ,0.45029             ,0.65483             ,0.48285             ,0.09098             ,0.5961              ,0.45114             ,0.20134             ,0.55729             ,0.18367             ,0.33371             ,0.00793             ,0.72917             ,0.00335             ,0.65161             ,0.39899             ,0.55993             ,0.11144             ,0.73399             ,0.32773             ,0.51811             ,0.8789              ,0.08174             ,0.5555              ,0.61746             ,0.58746             ,0.22138             ,0.42147             ,0.02393             ,0.41362             ,-0.09845            ,-0.00048            ,0.59462             ,0.8377              ,0.52137             ,0.36224             ,0.04885             ,0.11152             ,0.31327             ,0.42136             ,0.09588             ,0.67321             ,0.14785             ,0.55405             ,0.40728             ,0.72086             ,0.31411             ,0.12354             ,0.84081             ,0.2703              ,0.28474             ,0.33278             ,0.07388             ,0.55746             ,0.31189             ,0.47383             ,0.15555             ,0.84404             ,0.516               
350                 ,0.57516             ,0.60864             ,0.08889             ,0.08504             ,3897                ,661                 ,3617                ,2990                ,0.54623             ,0.28342             ,0.67822             ,0.22691             ,0.29306             ,0.50386             ,0.11306             ,0.55779             ,0.79176             ,0.45123             ,0.46825             ,0.5254              ,0.27771             ,-0.03224            ,0.44204             ,0.61988             ,0.43769             ,0.0697              ,0.6527              ,0.45097             ,0.17084             ,0.5205              ,0.13033             ,0.32312             ,0.00129             ,0.68733             ,0.00101             ,0.65635             ,0.34698             ,0.56077             ,0.1096              ,0.71211             ,0.27111             ,0.48168             ,0.79843             ,0.09906             ,0.53141             ,0.59281             ,0.53822             ,0.16245             ,0.3558              ,0.01636             ,0.47987             ,-0.14607            ,-0.04919            ,0.54333             ,0.78899             ,0.4751              ,0.36079             ,0.04868             ,0.11443             ,0.33669             ,0.41167             ,0.10447             ,0.66728             ,0.15773             ,0.55853             ,0.41815             ,0.71502             ,0.34355             ,0.12841             ,0.8142              ,0.28277             ,0.31218             ,0.33113             ,0.09178             ,0.56491             ,0.32302             ,0.48615             ,0.18122             ,0.82372             ,0.49339             
400                 ,0.62709             ,0.65641             ,0.08328             ,0.07968             ,3897                ,633                 ,3617                ,2993                ,0.50863             ,0.26874             ,0.63757             ,0.22947             ,0.28254             ,0.46206             ,0.11589             ,0.56157             ,0.75643             ,0.45066             ,0.45546             ,0.4897              ,0.28059             ,-0.06299            ,0.43566             ,0.58186             ,0.38989             ,0.05195             ,0.69403             ,0.45235             ,0.12802             ,0.47798             ,0.08073             ,0.31977             ,0.00155             ,0.64681             ,-0.00185            ,0.67247             ,0.30439             ,0.56539             ,0.1072              ,0.68602             ,0.22202             ,0.45927             ,0.72689             ,0.11606             ,0.50535             ,0.57398             ,0.50168             ,0.10067             ,0.28019             ,0.00941             ,0.52079             ,-0.1597             ,-0.09296            ,0.48909             ,0.74217             ,0.43161             ,0.35901             ,0.04862             ,0.11734             ,0.35907             ,0.40315             ,0.11214             ,0.66077             ,0.16953             ,0.56247             ,0.42697             ,0.70858             ,0.36843             ,0.13296             ,0.78875             ,0.29371             ,0.33222             ,0.324               ,0.10034             ,0.56581             ,0.33494             ,0.49812             ,0.20478             ,0.79154             ,0.48353             
450                 ,0.65998             ,0.68383             ,0.07953             ,0.07644             ,3897                ,611                 ,3618                ,2994                ,0.47237             ,0.25439             ,0.59829             ,0.23446             ,0.27303             ,0.41942             ,0.10889             ,0.55594             ,0.7254              ,0.44805             ,0.444               ,0.45195             ,0.28059             ,-0.08433            ,0.43261             ,0.54326             ,0.34688             ,0.0375              ,0.71494             ,0.43762             ,0.06221             ,0.42939             ,0.0396              ,0.31366             ,0.00183             ,0.60779             ,-0.00549            ,0.68398             ,0.26828             ,0.57671             ,0.10386             ,0.65324             ,0.17904             ,0.45168             ,0.66471             ,0.13458             ,0.47728             ,0.5572              ,0.47914             ,0.03888             ,0.20173             ,0.00557             ,0.53753             ,-0.14081            ,-0.13784            ,0.43433             ,0.69889             ,0.39424             ,0.35731             ,0.04916             ,0.12152             ,0.37955             ,0.39666             ,0.12055             ,0.65436             ,0.18158             ,0.56404             ,0.43322             ,0.70184             ,0.38681             ,0.13739             ,0.76409             ,0.30285             ,0.34513             ,0.30437             ,0.09919             ,0.56401             ,0.35094             ,0.5087              ,0.22234             ,0.75248             ,0.47163             
500                 ,0.68205             ,0.70132             ,0.0769              ,0.07429             ,3900                ,592                 ,3618                ,2995                ,0.4375              ,0.23978             ,0.5604              ,0.24                ,0.26421             ,0.37897             ,0.0964              ,0.53933             ,0.69799             ,0.44316             ,0.43424             ,0.41346             ,0.27762             ,-0.09789            ,0.43081             ,0.50835             ,0.31119             ,0.02627             ,0.7139              ,0.4083              ,-0.01123            ,0.37975             ,0.00698             ,0.30283             ,0.00171             ,0.57001             ,-0.00912            ,0.68342             ,0.23681             ,0.58156             ,0.10085             ,0.61441             ,0.14207             ,0.45044             ,0.60983             ,0.151               ,0.44714             ,0.53962             ,0.46415             ,-0.00947            ,0.12567             ,0.00434             ,0.53217             ,-0.10851            ,-0.19463            ,0.38261             ,0.66053             ,0.36229             ,0.35565             ,0.04971             ,0.12629             ,0.39611             ,0.39277             ,0.12889             ,0.648               ,0.19211             ,0.56377             ,0.43711             ,0.69466             ,0.4                 ,0.14152             ,0.73928             ,0.31017             ,0.35277             ,0.27382             ,0.08966             ,0.56088             ,0.36811             ,0.51774             ,0.23493             ,0.71076             ,0.45206             
550                 ,0.69707             ,0.71279             ,0.07506             ,0.07285             ,3900                ,576                 ,3618                ,2996                ,0.40408             ,0.22473             ,0.52388             ,0.24367             ,0.25568             ,0.34145             ,0.08184             ,0.51387             ,0.67299             ,0.43619             ,0.42552             ,0.37643             ,0.2723              ,-0.10631            ,0.42748             ,0.47752             ,0.28257             ,0.0179              ,0.69583             ,0.37331             ,-0.07048            ,0.33534             ,-0.0189             ,0.28802             ,0.00165             ,0.53339             ,-0.01207            ,0.67034             ,0.20865             ,0.57407             ,0.09865             ,0.5729              ,0.11085             ,0.44548             ,0.56048             ,0.16037             ,0.41582             ,0.52067             ,0.44849             ,-0.05055            ,0.05408             ,0.00348             ,0.51303             ,-0.07781            ,-0.25434            ,0.33682             ,0.62672             ,0.33331             ,0.35403             ,0.05003             ,0.13061             ,0.40829             ,0.39083             ,0.13641             ,0.64142             ,0.20063             ,0.56229             ,0.43924             ,0.687               ,0.41007             ,0.14509             ,0.71382             ,0.31571             ,0.35774             ,0.23851             ,0.07522             ,0.5567              ,0.38314             ,0.52506             ,0.24508             ,0.6686              ,0.42553             
600                 ,0.70785             ,0.72151             ,0.07372             ,0.07174             ,3900                ,562                 ,3618                ,2996                ,0.37215             ,0.20978             ,0.48875             ,0.24467             ,0.24712             ,0.30706             ,0.06736             ,0.48338             ,0.64956             ,0.42691             ,0.41736             ,0.3419              ,0.26522             ,-0.11155            ,0.42133             ,0.44876             ,0.25981             ,0.01187             ,0.66659             ,0.33781             ,-0.10021            ,0.29943             ,-0.03892            ,0.27009             ,0.00224             ,0.4981              ,-0.0142             ,0.6441              ,0.18347             ,0.55293             ,0.09694             ,0.5318              ,0.0851              ,0.43247             ,0.51668             ,0.16028             ,0.38412             ,0.49947             ,0.42776             ,-0.08043            ,-0.00992            ,0.00243             ,0.4871              ,-0.05447            ,-0.30061            ,0.29828             ,0.59515             ,0.30601             ,0.35216             ,0.05029             ,0.13481             ,0.41649             ,0.38975             ,0.14272             ,0.63451             ,0.20741             ,0.56025             ,0.4398              ,0.67905             ,0.41735             ,0.14806             ,0.68717             ,0.31987             ,0.36162             ,0.20591             ,0.05779             ,0.5522              ,0.39446             ,0.53053             ,0.25368             ,0.62819             ,0.3906              
650                 ,0.71548             ,0.72724             ,0.07275             ,0.071               ,3900                ,548                 ,3618                ,2997                ,0.34173             ,0.19487             ,0.45502             ,0.24286             ,0.23865             ,0.27558             ,0.05358             ,0.44779             ,0.62714             ,0.41668             ,0.41031             ,0.30952             ,0.25656             ,-0.11387            ,0.41327             ,0.42084             ,0.24123             ,0.00768             ,0.63256             ,0.30378             ,-0.11032            ,0.26946             ,-0.05409            ,0.25152             ,0.00276             ,0.46415             ,-0.01667            ,0.60883             ,0.1603              ,0.52013             ,0.09571             ,0.49053             ,0.06371             ,0.41454             ,0.47672             ,0.15481             ,0.35234             ,0.47515             ,0.40389             ,-0.10115            ,-0.06203            ,0.00131             ,0.45875             ,-0.03757            ,-0.33137            ,0.26522             ,0.56366             ,0.28026             ,0.35088             ,0.04962             ,0.13797             ,0.42143             ,0.39071             ,0.14785             ,0.6268              ,0.20998             ,0.55861             ,0.44061             ,0.67265             ,0.42208             ,0.1506              ,0.66172             ,0.32321             ,0.36379             ,0.18094             ,0.04247             ,0.54874             ,0.40241             ,0.53409             ,0.26048             ,0.5908              ,0.35608             
700                 ,0.72111             ,0.73235             ,0.07202             ,0.07033             ,3900                ,536                 ,3618                ,2997                ,0.31283             ,0.18041             ,0.42268             ,0.23958             ,0.22976             ,0.24656             ,0.04143             ,0.41133             ,0.6053              ,0.40469             ,0.40337             ,0.27884             ,0.24677             ,-0.11446            ,0.40494             ,0.39444             ,0.22503             ,0.00483             ,0.5944              ,0.27165             ,-0.11961            ,0.24192             ,-0.0658             ,0.23092             ,0.00344             ,0.43161             ,-0.0183             ,0.57013             ,0.13888             ,0.48227             ,0.09534             ,0.45059             ,0.0446              ,0.39437             ,0.43889             ,0.14998             ,0.32126             ,0.45174             ,0.38104             ,-0.11786            ,-0.10523            ,0.00066             ,0.42739             ,-0.02284            ,-0.35413            ,0.23576             ,0.53347             ,0.25485             ,0.3492              ,0.04904             ,0.14084             ,0.42507             ,0.39184             ,0.15208             ,0.61892             ,0.21181             ,0.55631             ,0.44018             ,0.66562             ,0.42462             ,0.15258             ,0.63757             ,0.32602             ,0.36492             ,0.16996             ,0.02804             ,0.54352             ,0.40813             ,0.53681             ,0.26521             ,0.555               ,0.3202              
